mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55423.187950,,,,,,,,,14.9435,0.0246,0.752,4.00,4436.19,0.0982,1.5400,0.0919,1,H
55423.188873,,,,,,,,,14.9233,0.0206,0.706,4.00,4496.88,0.1040,1.3400,1.3160,1,H
55423.191239,14.8825,0.0484,,,,,,,,,0.637,4.00,4954.45,0.1382,2.2800,1.7479,1,Ks
55423.192145,14.8322,0.0345,,,,,,,,,0.735,4.00,4968.69,0.1392,1.7900,0.7282,1,Ks
55423.198191,,,,,,,15.2350,0.0183,,,0.665,6.00,1136.16,0.1011,1.2100,0.6134,1,J
55423.199610,,,,,,,15.2015,0.0082,,,0.701,6.00,1169.69,0.0866,0.7700,1.3855,1,J
55775.204260,14.7700,0.0258,,,,,,,,,0.736,4.00,3571.18,0.0578,1.1300,0.1305,1,Ks
55775.205090,14.8207,0.0309,,,,,,,,,0.809,4.00,3560.38,0.0697,1.0100,0.0588,1,Ks
55778.183464,14.8704,0.0346,,,,,,,,,0.786,4.00,5189.06,0.0834,1.6100,0.0752,1,Ks
55778.184244,14.9468,0.0406,,,,,,,,,0.822,4.00,5203.69,0.0634,1.2600,0.7773,1,Ks
55779.194847,14.7817,0.0419,,,,,,,,,0.886,4.00,5039.13,0.0884,1.3100,2.6218,1,Ks
55779.195590,14.7582,0.0324,,,,,,,,,0.860,4.00,5033.12,0.1205,0.8300,0.5998,1,Ks
55794.112807,14.9061,0.0255,,,,,,,,,0.677,4.00,3614.89,0.0859,1.1900,0.0127,1,Ks
55794.113734,14.8740,0.0214,,,,,,,,,0.737,4.00,3627.38,0.0950,0.9300,0.0465,1,Ks
55803.149811,,,,,15.5569,0.0376,,,,,0.879,10.00,606.74,0.0819,0.8700,1.8699,1,Y
55803.150828,,,,,15.3712,0.0131,,,,,0.810,10.00,596.41,0.0828,0.5500,0.8117,1,Y
55803.153209,,,15.9893,0.0485,,,,,,,0.871,10.00,243.72,0.0985,1.1700,0.7024,1,Z
55803.154222,,,15.6090,0.0137,,,,,,,0.893,10.00,241.99,0.0844,0.4800,0.4675,1,Z
55808.103631,14.9761,0.0360,,,,,,,,,0.674,4.00,4955.50,0.1016,1.5700,0.1999,1,Ks
55808.104611,15.0164,0.0383,,,,,,,,,0.766,4.00,4954.62,0.0739,1.4400,0.9403,1,Ks
55830.082747,14.7172,0.0614,,,,,,,,,1.254,4.00,6143.24,0.0637,1.0300,9.9113,1,Ks
