mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55296.386653,,,,,,,,,14.5552,0.0067,0.615,4.00,3228.31,0.0765,0.8700,0.0468,1,H
55296.387298,,,,,,,,,14.5877,0.0095,0.648,4.00,3237.51,0.1206,0.9000,4.7555,1,H
55296.388973,14.4312,0.0232,,,,,,,,,0.613,4.00,4515.57,0.0852,1.4100,2.3662,1,Ks
55296.389688,14.4653,0.0177,,,,,,,,,0.657,4.00,4511.33,0.0612,1.0200,0.1053,1,Ks
55296.392037,,,,,,,14.8492,0.0106,,,0.652,6.00,786.40,0.1116,1.1100,2.5969,1,J
55296.393182,,,,,,,14.8507,0.0071,,,0.642,6.00,778.72,0.0949,0.6600,1.0416,1,J
55433.142392,,,,,14.9329,0.0069,,,,,0.693,10.00,259.18,0.1159,0.6500,0.4734,1,Y
55433.143574,,,,,14.9278,0.0049,,,,,0.707,10.00,262.28,0.1066,0.4800,1.0676,1,Y
55433.146321,,,15.1697,0.0072,,,,,,,0.747,10.00,180.84,0.1196,0.8000,0.2841,1,Z
55433.147497,,,15.1632,0.0069,,,,,,,0.746,10.00,179.43,0.1105,0.7100,0.9625,1,Z
55494.018507,14.2942,0.0210,,,,,,,,,0.772,4.00,5865.86,0.0864,0.8500,1.4319,1,Ks
55494.019486,14.3173,0.0224,,,,,,,,,0.772,4.00,5866.60,0.0725,0.8800,0.3137,1,Ks
55778.237538,14.3116,0.0161,,,,,,,,,0.729,4.00,5178.23,0.0909,0.8800,0.4790,1,Ks
55778.238334,14.3079,0.0186,,,,,,,,,0.723,4.00,5189.94,0.0943,0.9700,0.4959,1,Ks
55828.041836,14.2422,0.0166,,,,,,,,,0.735,4.00,5266.17,0.0725,0.8600,0.1244,1,Ks
55828.042634,14.2339,0.0151,,,,,,,,,0.757,4.00,5260.27,0.0774,0.9000,0.9753,1,Ks
55830.050613,14.4563,0.0187,,,,,,,,,0.908,4.00,5842.73,0.0847,0.7400,0.8261,1,Ks
55830.051424,14.4127,0.0242,,,,,,,,,0.911,4.00,5824.25,0.0595,0.7100,1.6324,1,Ks
55835.046633,14.3261,0.0182,,,,,,,,,0.866,4.00,5162.10,0.0695,0.9300,0.5121,1,Ks
55835.047479,14.3057,0.0198,,,,,,,,,0.911,4.00,5167.33,0.0571,0.6800,0.8152,1,Ks
55849.039267,14.3695,0.0522,,,,,,,,,1.623,4.00,4037.65,0.0750,0.6100,8.3205,1,Ks
55849.040049,14.4262,0.0559,,,,,,,,,1.659,4.00,4081.53,0.0647,0.6200,5.2292,1,Ks
