mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55246.335847,13.7068,0.0139,,,,,,,,,0.644,4.00,5032.73,0.0644,1.1800,1.0908,1,Ks
55246.336474,13.7153,0.0112,,,,,,,,,0.680,4.00,5007.44,0.0993,0.6700,7.6661,1,Ks
55256.238658,13.6707,0.0183,,,,,,,,,0.799,4.00,5010.59,0.1171,1.0300,0.8063,1,Ks
55256.239307,13.6652,0.0114,,,,,,,,,0.840,4.00,4986.21,0.1253,0.6000,6.1931,1,Ks
55260.282101,13.7470,0.0126,,,,,,,,,0.712,4.00,4816.96,0.0853,0.8900,0.0985,1,Ks
55260.282790,13.7473,0.0174,,,,,,,,,0.734,4.00,4848.57,0.0936,1.3400,0.3389,1,Ks
55271.173924,13.7125,0.0145,,,,,,,,,0.773,4.00,4871.12,0.1261,1.0700,1.1307,1,Ks
55271.174544,13.7035,0.0123,,,,,,,,,0.839,4.00,4867.85,0.1225,0.6300,0.9058,1,Ks
55272.171144,13.6679,0.0126,,,,,,,,,0.751,4.00,4831.72,0.0673,1.0300,1.8080,1,Ks
55272.171782,13.6500,0.0130,,,,,,,,,0.704,4.00,4820.06,0.0607,0.7600,0.6323,1,Ks
55272.266504,,,,,,,,,13.7162,0.0132,0.657,10.00,5615.68,0.1079,1.9500,0.0868,1,H
55272.268021,,,,,,,,,13.7589,0.0198,0.702,10.00,5720.02,0.1049,2.6600,1.9936,1,H
55272.272783,13.6302,0.0183,,,,,,,,,0.631,10.00,10913.54,0.0682,1.4000,0.0180,1,Ks
55272.274311,13.6278,0.0169,,,,,,,,,0.624,10.00,10931.68,0.0689,1.4100,0.5822,1,Ks
55272.277691,,,,,,,14.0387,0.0131,,,0.595,10.00,911.90,0.1188,1.9500,0.1295,1,J
55272.279220,,,,,,,14.0313,0.0123,,,0.651,10.00,918.11,0.0840,1.6800,0.4780,1,J
55309.152347,,,,,14.3224,0.0080,,,,,0.680,20.00,678.70,0.0690,1.2300,0.7155,1,Y
55309.153842,,,,,14.3205,0.0046,,,,,0.723,20.00,676.09,0.0809,0.7700,0.8497,1,Y
55309.157212,,,14.5300,0.0067,,,,,,,0.696,20.00,296.04,0.0863,1.3000,3.0210,1,Z
55309.158697,,,14.5267,0.0051,,,,,,,0.729,20.00,298.09,0.1007,0.9000,0.5972,1,Z
55765.994481,13.8222,0.0163,,,,,,,,,0.909,4.00,5330.12,0.1625,0.7600,1.2905,1,Ks
55765.995289,13.7891,0.0125,,,,,,,,,0.865,4.00,5336.67,0.1450,0.8100,0.5639,1,Ks
55778.007867,13.8722,0.0140,,,,,,,,,0.682,4.00,6617.71,0.0715,0.8900,0.0894,1,Ks
55778.008675,13.8783,0.0190,,,,,,,,,0.758,4.00,6631.83,0.1045,0.9900,1.9833,1,Ks
55780.016751,13.8489,0.0170,,,,,,,,,0.890,4.00,6313.52,0.1259,0.7400,1.2181,1,Ks
55780.017597,13.8533,0.0150,,,,,,,,,0.752,4.00,6313.33,0.0939,0.7100,0.0442,1,Ks
55780.981674,13.6138,0.0090,,,,,,,,,0.670,4.00,5547.76,0.0725,0.7600,1.1109,1,Ks
55780.982511,13.5947,0.0125,,,,,,,,,0.691,4.00,5532.46,0.0905,0.8600,5.8382,1,Ks
55787.994575,13.7280,0.0116,,,,,,,,,0.705,4.00,5582.50,0.0618,0.7900,0.3086,1,Ks
55787.995755,13.7230,0.0168,,,,,,,,,0.733,4.00,5592.45,0.0634,0.9900,0.3189,1,Ks
55940.289033,13.7245,0.0124,,,,,,,,,0.734,4.00,4319.83,0.0641,0.8400,0.0633,1,Ks
55940.290140,13.7318,0.0131,,,,,,,,,0.829,4.00,4306.11,0.0748,0.9100,4.8420,1,Ks
55994.150813,13.6290,0.0192,,,,,,,,,0.881,4.00,7724.40,0.1010,1.0600,0.0329,1,Ks
55994.151596,13.5990,0.0130,,,,,,,,,0.859,4.00,7677.00,0.0539,0.8700,1.6778,1,Ks
55995.164363,13.7411,0.0149,,,,,,,,,0.820,4.00,7281.38,0.0941,0.8300,0.4443,1,Ks
55995.165100,13.7343,0.0199,,,,,,,,,0.821,4.00,7265.02,0.1059,1.0000,0.8396,1,Ks
56000.172998,13.6277,0.0285,,,,,,,,,1.067,4.00,5433.85,0.0687,0.7700,0.7539,1,Ks
56000.173819,13.6014,0.0213,,,,,,,,,1.232,4.00,5400.90,0.0835,0.7000,1.5246,1,Ks
56016.168329,13.5848,0.0156,,,,,,,,,0.864,4.00,6089.88,0.0567,0.8000,2.3558,1,Ks
56016.169184,13.5892,0.0167,,,,,,,,,0.962,4.00,6099.58,0.0733,0.7300,0.7990,1,Ks
56046.005763,13.5658,0.0239,,,,,,,,,1.107,4.00,5626.98,0.0900,0.6400,0.1967,1,Ks
56046.006554,13.5718,0.0311,,,,,,,,,1.432,4.00,5597.00,0.0589,0.6700,4.2571,1,Ks
56067.152795,13.7390,0.0171,,,,,,,,,0.690,4.00,4566.25,0.0655,1.1400,0.9445,1,Ks
56067.153596,13.7261,0.0102,,,,,,,,,0.756,4.00,4560.27,0.0700,0.6200,1.5479,1,Ks
56068.174267,13.7006,0.0159,,,,,,,,,0.734,4.00,5046.82,0.1142,1.0200,2.6555,1,Ks
56068.175049,13.6730,0.0155,,,,,,,,,0.639,4.00,5023.15,0.0889,0.9100,1.8686,1,Ks
56328.364955,13.8546,0.0406,,,,,,,,,1.130,4.00,5455.10,0.0926,0.6700,1.2676,1,Ks
56328.365723,13.8445,0.0165,,,,,,,,,1.007,4.00,5465.63,0.0747,0.7400,0.0004,1,Ks
56362.246074,13.8299,0.0184,,,,,,,,,0.704,4.00,5905.69,0.0662,1.1400,3.7533,1,Ks
56362.246860,13.8052,0.0161,,,,,,,,,0.764,4.00,5858.97,0.1058,0.7700,5.3294,1,Ks
56371.223819,13.6003,0.0190,,,,,,,,,0.927,4.00,4232.67,0.0674,0.5500,1.5960,1,Ks
56371.224638,13.6009,0.0104,,,,,,,,,0.935,4.00,4228.54,0.2033,0.6800,1.0191,1,Ks
56372.099805,13.5469,0.0190,,,,,,,,,1.044,4.00,6137.87,0.0847,0.7900,0.0639,1,Ks
56372.100629,13.5581,0.0149,,,,,,,,,0.992,4.00,6116.81,0.0632,0.7200,1.4508,1,Ks
56373.166379,13.7901,0.0361,,,,,,,,,1.369,4.00,5306.51,0.0727,0.7000,0.1060,1,Ks
56373.167219,13.7482,0.0148,,,,,,,,,0.963,4.00,5300.58,0.0808,0.5600,1.2272,1,Ks
56374.113121,13.5750,0.0169,,,,,,,,,0.906,4.00,5608.16,0.1071,0.8400,0.0617,1,Ks
56374.113960,13.5841,0.0171,,,,,,,,,0.850,4.00,5594.87,0.0915,0.9400,1.3276,1,Ks
56375.116685,13.8957,0.0771,,,,,,,,,0.953,4.00,5397.44,0.1135,1.3500,0.5928,1,Ks
56375.117637,13.8544,0.0208,,,,,,,,,1.162,4.00,5368.27,0.1494,0.7300,1.0485,1,Ks
56376.089304,13.6086,0.0313,,,,,,,,,1.291,4.00,5633.21,0.1383,0.5800,0.8648,1,Ks
56376.090172,13.6042,0.0275,,,,,,,,,1.137,4.00,5633.06,0.1078,0.8000,1.0404,1,Ks
