mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
56074.241038,10.5668,0.0191,,,,,,,,,0.667,4.00,4389.08,0.0906,5.4600,1.2659,1,Ks
56076.223410,10.5955,0.0219,,,,,,,,,1.321,4.00,5618.44,0.1043,0.9600,0.2791,1,Ks
56076.223887,10.6017,0.0220,,,,,,,,,1.425,4.00,5631.97,0.0670,0.7700,2.1214,1,Ks
56086.307380,10.7998,0.0317,,,,,,,,,0.629,4.00,3946.38,0.0629,9.1000,8.3714,1,Ks
56086.307841,10.6014,0.0221,,,,,,,,,0.599,4.00,3959.96,0.0695,5.3800,3.6226,1,Ks
56088.166180,10.5847,0.0207,,,,,,,,,1.090,4.00,3986.62,0.1002,1.1100,1.8650,1,Ks
56088.166659,10.6027,0.0241,,,,,,,,,0.937,4.00,4064.64,0.0831,1.3900,1.6776,1,Ks
56090.100159,10.6484,0.0208,,,,,,,,,0.903,4.00,4280.90,0.3464,4.3600,0.3255,1,Ks
56090.100582,10.5844,0.0136,,,,,,,,,0.740,4.00,4283.35,0.1060,3.8100,0.0194,1,Ks
56091.159626,10.7850,0.0209,,,,,,,,,1.260,4.00,4121.67,0.0804,0.8000,2.3214,1,Ks
56091.160108,10.7414,0.0186,,,,,,,,,1.166,4.00,4084.50,0.0623,0.8700,4.2985,1,Ks
56093.100464,10.6399,0.0170,,,,,,,,,0.841,4.00,4521.91,0.0829,1.2400,2.7417,1,Ks
56093.100861,10.6434,0.0155,,,,,,,,,0.812,4.00,4454.11,0.0758,2.2600,0.8527,1,Ks
56093.162448,10.6425,0.0139,,,,,,,,,0.825,4.00,4179.75,0.1093,2.1500,0.1644,1,Ks
56093.162912,10.6143,0.0165,,,,,,,,,0.795,4.00,4142.12,0.0704,2.9500,2.1492,1,Ks
56094.096031,10.6526,0.0204,,,,,,,,,0.786,4.00,5301.71,0.0943,5.4400,1.4235,1,Ks
56094.096457,10.5836,0.0179,,,,,,,,,0.920,4.00,5303.38,0.1410,3.7000,2.1679,1,Ks
56099.257210,10.6233,0.0181,,,,,,,,,1.183,4.00,3572.11,0.0720,1.6700,6.1378,1,Ks
56099.257695,10.5955,0.0212,,,,,,,,,1.341,4.00,3597.45,0.0756,1.0200,2.2458,1,Ks
56100.153240,10.7459,0.0268,,,,,,,,,0.696,4.00,4371.54,0.0560,5.9800,0.5525,1,Ks
56100.153715,10.5821,0.0205,,,,,,,,,0.752,4.00,4320.35,0.0993,5.8900,0.3527,1,Ks
56102.172145,10.9039,0.0309,,,,,,,,,0.591,4.00,4638.10,0.1081,8.4200,0.7878,1,Ks
56102.172659,10.7554,0.0281,,,,,,,,,0.631,4.00,4587.67,0.1151,8.1800,0.9618,1,Ks
56104.099772,10.7306,0.0179,,,,,,,,,1.192,4.00,5622.73,0.1047,1.6400,4.7652,1,Ks
56104.100260,10.7110,0.0192,,,,,,,,,1.178,4.00,5616.49,0.0972,1.4300,1.6516,1,Ks
56104.133508,10.7248,0.0157,,,,,,,,,0.811,4.00,5178.24,0.0925,3.9500,2.3585,1,Ks
56104.133971,10.6646,0.0154,,,,,,,,,0.777,4.00,5164.12,0.0604,4.2900,1.1343,1,Ks
56106.157398,10.5974,0.0251,,,,,,,,,1.386,4.00,4662.33,0.1964,1.8200,5.1546,1,Ks
56106.157901,10.5966,0.0287,,,,,,,,,1.358,4.00,4674.69,0.2389,3.0100,0.3708,1,Ks
56107.044663,10.6611,0.0222,,,,,,,,,0.719,4.00,4922.29,0.0921,5.8200,8.3846,1,Ks
56107.045076,10.6221,0.0193,,,,,,,,,0.720,4.00,4924.03,0.0856,4.7100,0.6049,1,Ks
56108.100993,10.6754,0.0330,,,,,,,,,0.690,4.00,5275.54,0.1258,7.2000,0.4151,1,Ks
56108.101435,10.5621,0.0244,,,,,,,,,0.692,4.00,5343.01,0.0587,6.3700,0.9005,1,Ks
56108.142642,10.9622,0.0612,,,,,,,,,0.559,4.00,5090.01,0.0820,15.9400,3.2595,1,Ks
56108.143157,10.6664,0.0502,,,,,,,,,0.561,4.00,5108.54,0.0907,14.3100,0.0053,1,Ks
56114.053728,10.6734,0.0146,,,,,,,,,0.902,4.00,4257.88,0.0822,3.3500,0.7487,1,Ks
56114.054131,10.6610,0.0128,,,,,,,,,0.913,4.00,4329.15,0.0685,2.9800,0.6386,1,Ks
56115.081059,10.8667,0.0204,,,,,,,,,0.577,4.00,4212.23,0.0848,5.4200,0.7430,1,Ks
56115.081469,10.8105,0.0300,,,,,,,,,0.526,4.00,4183.98,0.0872,8.3200,0.2036,1,Ks
56120.090110,10.6593,0.0178,,,,,,,,,0.706,4.00,3906.47,0.0630,4.3800,0.2231,1,Ks
56120.090626,10.5691,0.0201,,,,,,,,,0.635,4.00,3908.60,0.0777,5.2900,0.9326,1,Ks
56121.203202,10.5993,0.0161,,,,,,,,,0.971,4.00,4215.02,0.0675,1.6300,0.6609,1,Ks
56121.203678,10.5790,0.0171,,,,,,,,,1.100,4.00,4171.48,0.0886,2.0900,0.5084,1,Ks
56122.027314,10.7073,0.0281,,,,,,,,,0.659,4.00,4838.48,0.0659,6.2300,0.6571,1,Ks
56122.027690,10.6315,0.0208,,,,,,,,,0.666,4.00,4827.00,0.0603,5.3400,0.7705,1,Ks
56122.051413,10.7210,0.0350,,,,,,,,,0.618,4.00,4597.36,0.0703,9.2000,2.6829,1,Ks
56122.051802,10.5574,0.0200,,,,,,,,,0.660,4.00,4602.91,0.0721,4.7900,0.9896,1,Ks
56123.099291,10.6166,0.0151,,,,,,,,,0.947,4.00,4218.25,0.0567,1.4700,3.3915,1,Ks
56123.099693,10.6010,0.0156,,,,,,,,,1.013,4.00,4219.65,0.1577,2.5300,0.1684,1,Ks
56124.094974,10.7216,0.0213,,,,,,,,,0.664,4.00,3468.56,0.0849,5.8000,4.8892,1,Ks
56124.095394,10.6079,0.0141,,,,,,,,,0.676,4.00,3477.14,0.0727,3.8400,0.5795,1,Ks
56125.205008,10.7979,0.0154,,,,,,,,,0.831,4.00,4340.75,0.0675,3.1900,0.6373,1,Ks
56125.205411,10.7529,0.0128,,,,,,,,,0.825,4.00,4333.87,0.0651,2.2400,0.8534,1,Ks
56131.085336,10.7531,0.0483,,,,,,,,,0.627,4.00,4298.99,0.0806,13.1800,2.4101,1,Ks
56131.085745,10.5570,0.0194,,,,,,,,,0.649,4.00,4299.04,0.1025,5.4000,0.0369,1,Ks
56132.045553,10.6127,0.0130,,,,,,,,,0.876,4.00,4464.17,0.1184,2.2100,1.1783,1,Ks
56132.045961,10.5661,0.0141,,,,,,,,,0.863,4.00,4460.00,0.1113,2.9600,0.8076,1,Ks
56133.183330,11.0682,0.0421,,,,,,,,,0.520,4.00,4366.90,0.0796,12.9100,87.1524,1,Ks
56133.183748,10.6267,0.0443,,,,,,,,,0.580,4.00,4367.53,0.1144,13.6100,2.1566,1,Ks
56135.202653,10.6434,0.0129,,,,,,,,,1.226,4.00,3846.11,0.1669,1.0800,2.4220,1,Ks
56135.203077,10.6198,0.0176,,,,,,,,,1.070,4.00,3831.15,0.1079,2.6400,3.7571,1,Ks
56141.271284,10.5915,0.0211,,,,,,,,,0.999,4.00,3585.33,0.0696,2.1300,0.0669,1,Ks
56141.271671,10.5633,0.0129,,,,,,,,,0.930,4.00,3713.45,0.0879,2.2700,8.8457,1,Ks
56145.035675,10.7511,0.0192,,,,,,,,,0.662,4.00,4613.76,0.0741,5.2200,1.2369,1,Ks
56145.036098,10.7806,0.0346,,,,,,,,,0.569,4.00,4596.33,0.0743,8.8000,4.0913,1,Ks
56145.242061,10.6371,0.0149,,,,,,,,,0.840,4.00,4780.09,0.0610,2.5700,2.1786,1,Ks
56145.242436,10.5955,0.0151,,,,,,,,,0.908,4.00,4780.03,0.0572,3.0100,5.6793,1,Ks
56146.186169,10.5889,0.0245,,,,,,,,,1.263,4.00,3884.05,0.0710,1.3900,0.9188,1,Ks
56146.186559,10.5869,0.0216,,,,,,,,,1.163,4.00,3884.98,0.0626,1.3800,0.8289,1,Ks
56159.135768,10.7096,0.0259,,,,,,,,,0.647,4.00,3881.17,0.0836,8.3700,5.1220,1,Ks
56159.136162,10.6117,0.0196,,,,,,,,,0.684,4.00,3884.52,0.0944,5.7500,0.1314,1,Ks
