mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55272.365942,,,,,,,,,15.4806,0.0320,0.577,4.00,2122.85,0.0860,2.1000,0.7110,1,H
55272.366563,,,,,,,,,15.4108,0.0272,0.605,4.00,2115.75,0.0828,2.1200,0.2171,1,H
55272.366920,,,,,,,,,15.5496,0.0337,0.595,4.00,2117.74,0.0985,2.1600,1.0379,1,H
55272.367590,,,,,,,,,15.5147,0.0219,0.637,4.00,2121.07,0.1329,1.2600,0.9713,1,H
55272.368247,15.2238,0.0484,,,,,,,,,0.564,4.00,4170.81,0.0818,2.0500,0.1312,1,Ks
55272.368860,15.2223,0.0676,,,,,,,,,0.547,4.00,4157.30,0.1133,2.2500,2.2975,1,Ks
55272.369757,15.2606,0.0510,,,,,,,,,0.611,4.00,4151.46,0.0859,2.1800,0.8826,1,Ks
55272.370462,15.2266,0.0466,,,,,,,,,0.609,4.00,4147.48,0.0817,1.8600,0.3954,1,Ks
55272.371168,,,,,,,16.1773,0.0292,,,0.657,6.00,616.53,0.0755,1.3900,0.1362,1,J
55272.372242,,,,,,,16.1774,0.0291,,,0.663,6.00,632.32,0.0794,1.2600,0.1245,1,J
55272.372789,,,,,,,16.1472,0.0199,,,0.646,6.00,630.26,0.0743,1.2600,0.9421,1,J
55272.373861,,,,,,,16.1526,0.0203,,,0.635,6.00,636.37,0.0761,1.1400,1.4978,1,J
55457.102054,,,,,17.0621,0.1796,,,,,1.850,10.00,708.18,0.0600,0.6200,3.4612,1,Y
55458.059251,,,,,16.8262,0.1003,,,,,1.710,10.00,616.03,0.0613,0.4800,2.0203,1,Y
55458.063920,,,17.4879,0.1589,,,,,,,1.575,10.00,291.58,0.0456,0.6300,1.6606,1,Z
55459.057035,,,,,16.9530,0.1010,,,,,1.218,10.00,554.05,0.0586,0.8600,0.9241,1,Y
55459.057711,,,,,16.9263,0.0522,,,,,1.057,10.00,549.16,0.0795,0.7600,0.8266,1,Y
55459.058954,,,,,16.9863,0.0866,,,,,1.296,10.00,551.65,0.0617,0.8300,1.4504,1,Y
55459.061416,,,17.6398,0.1089,,,,,,,1.445,10.00,265.95,0.0513,0.7100,3.6464,1,Z
55459.062706,,,17.6871,0.0909,,,,,,,1.268,10.00,270.18,0.0455,0.7500,0.5446,1,Z
55459.064628,,,17.6517,0.0349,,,,,,,1.055,10.00,266.29,0.0500,0.4800,0.3474,1,Z
55468.052618,,,,,16.7659,0.0661,,,,,0.918,10.00,555.30,0.0617,1.2200,1.6750,1,Y
55468.053801,,,,,16.8004,0.0406,,,,,0.911,10.00,565.59,0.0692,0.7700,0.0408,1,Y
55468.054410,,,,,16.7683,0.0445,,,,,0.864,10.00,569.16,0.0762,0.8700,0.5478,1,Y
55468.055648,,,,,16.8107,0.0437,,,,,0.933,10.00,567.09,0.0800,0.7900,0.2959,1,Y
55468.056599,,,17.4427,0.0414,,,,,,,1.022,10.00,213.91,0.0660,0.6400,0.6109,1,Z
55468.057864,,,17.4922,0.0432,,,,,,,0.945,10.00,221.56,0.0863,0.7900,0.1180,1,Z
55468.058462,,,17.4561,0.0247,,,,,,,1.006,10.00,225.12,0.0641,0.5200,0.5291,1,Z
55468.059772,,,17.5345,0.0372,,,,,,,0.954,10.00,214.35,0.0734,0.6500,1.7028,1,Z
55469.013810,,,,,16.7687,0.0400,,,,,1.061,10.00,500.11,0.0586,0.6700,0.3175,1,Y
55469.014431,,,,,16.8245,0.0570,,,,,1.146,10.00,513.71,0.0565,0.7500,0.7980,1,Y
55469.015666,,,,,16.8170,0.0406,,,,,1.195,10.00,521.21,0.0594,0.5300,0.4827,1,Y
55469.017294,,,17.5216,0.0595,,,,,,,1.108,10.00,211.68,0.0513,0.8000,2.6938,1,Z
55469.018654,,,17.5510,0.0442,,,,,,,1.015,10.00,215.65,0.0590,0.7200,0.2422,1,Z
55469.019334,,,17.5635,0.0569,,,,,,,1.041,10.00,218.90,0.0528,0.8300,0.6618,1,Z
55469.020531,,,17.5838,0.0395,,,,,,,1.352,10.00,214.72,0.0443,0.6100,0.5326,1,Z
55724.307616,15.2917,0.0879,,,,,,,,,0.577,4.00,5785.79,0.0980,3.3600,0.7469,1,Ks
55724.308508,15.2550,0.0731,,,,,,,,,0.588,4.00,5802.83,0.1357,2.6000,0.0619,1,Ks
55724.308925,15.3005,0.0615,,,,,,,,,0.571,4.00,5780.41,0.1387,2.1400,0.5312,1,Ks
55724.309749,15.2631,0.0759,,,,,,,,,0.550,4.00,5789.69,0.1052,2.5300,0.1688,1,Ks
55791.160385,15.2071,0.0478,,,,,,,,,0.766,4.00,4507.33,0.1113,1.7700,1.0870,1,Ks
55791.161226,15.1726,0.0433,,,,,,,,,0.799,4.00,4594.94,0.1392,1.3500,3.4545,1,Ks
55791.161705,15.1518,0.0403,,,,,,,,,0.756,4.00,4627.17,0.1144,1.7400,0.3394,1,Ks
55791.162494,15.2020,0.0426,,,,,,,,,0.758,4.00,4569.48,0.1201,1.4800,0.0210,1,Ks
55804.120593,15.2905,0.0666,,,,,,,,,0.692,4.00,5568.46,0.0840,2.1300,0.0821,1,Ks
55804.121446,15.2604,0.0655,,,,,,,,,0.662,4.00,5581.31,0.1007,2.2000,0.7011,1,Ks
55804.121841,15.4798,0.0553,,,,,,,,,0.756,4.00,5595.63,0.1417,1.9700,0.9852,1,Ks
55807.060687,15.2560,0.0517,,,,,,,,,0.693,4.00,5705.33,0.1205,2.0700,0.0482,1,Ks
55807.061545,15.2567,0.0647,,,,,,,,,0.670,4.00,5705.46,0.1430,2.6500,0.5909,1,Ks
55823.028859,15.2433,0.0533,,,,,,,,,0.636,4.00,5196.11,0.0809,2.2600,0.6741,1,Ks
55823.029767,15.2297,0.0465,,,,,,,,,0.584,4.00,5177.90,0.0853,2.2400,0.0319,1,Ks
55823.030234,15.2362,0.0533,,,,,,,,,0.623,4.00,5176.65,0.1133,2.4500,0.8581,1,Ks
55823.031137,15.2933,0.0629,,,,,,,,,0.594,4.00,5163.17,0.1083,2.3100,0.0703,1,Ks
55825.096784,15.3835,0.0519,,,,,,,,,0.834,4.00,6005.87,0.1346,2.1900,0.1933,1,Ks
55825.097571,15.3206,0.0507,,,,,,,,,0.867,4.00,5998.20,0.1381,1.4700,3.4607,1,Ks
55834.035003,15.2533,0.0508,,,,,,,,,0.717,4.00,5618.92,0.0944,1.8900,0.6636,1,Ks
55834.035766,15.2034,0.0456,,,,,,,,,0.683,4.00,5630.90,0.0888,1.8700,0.2386,1,Ks
55835.021556,15.1924,0.0499,,,,,,,,,0.669,4.00,5447.71,0.0817,2.1400,0.9104,1,Ks
55835.022349,15.3361,0.0674,,,,,,,,,0.742,4.00,5484.21,0.0756,2.1900,0.0839,1,Ks
55835.022747,15.2781,0.0533,,,,,,,,,0.769,4.00,5501.04,0.0850,1.7900,1.7599,1,Ks
55835.023539,15.3044,0.0657,,,,,,,,,0.722,4.00,5521.88,0.0926,1.9700,0.2826,1,Ks
56009.375302,15.4047,0.0767,,,,,,,,,0.634,4.00,5696.83,0.0842,3.1000,0.1443,1,Ks
56009.376200,15.4311,0.0665,,,,,,,,,0.613,4.00,5732.22,0.1057,2.5100,0.2222,1,Ks
56009.376664,15.3659,0.0486,,,,,,,,,0.607,4.00,5729.44,0.0895,2.1200,0.3331,1,Ks
56009.377597,15.3790,0.0535,,,,,,,,,0.761,4.00,5769.43,0.1250,1.8300,0.1816,1,Ks
56080.305519,15.5051,0.0736,,,,,,,,,0.703,4.00,5288.56,0.0776,2.7700,0.6239,1,Ks
56080.306473,15.4308,0.0571,,,,,,,,,0.727,4.00,5315.24,0.0864,2.1500,0.1307,1,Ks
56086.124926,15.1780,0.0509,,,,,,,,,0.791,4.00,4205.41,0.1128,1.2200,3.6945,1,Ks
56086.125849,15.2287,0.0420,,,,,,,,,0.769,4.00,4221.52,0.0850,1.3300,0.5926,1,Ks
56088.084968,15.3549,0.0494,,,,,,,,,0.666,4.00,3984.91,0.0724,1.9100,0.4344,1,Ks
56088.085840,15.3762,0.0552,,,,,,,,,0.687,4.00,4082.86,0.0639,1.9200,1.4140,1,Ks
56100.213746,15.4584,0.0835,,,,,,,,,0.649,4.00,4076.67,0.0935,2.7800,0.5872,1,Ks
56100.214819,15.4261,0.0646,,,,,,,,,0.689,4.00,4076.08,0.0836,2.2100,0.0781,1,Ks
56102.197635,15.3194,0.0694,,,,,,,,,0.594,4.00,4711.17,0.1283,2.9100,0.9176,1,Ks
56102.198730,15.3085,0.0578,,,,,,,,,0.610,4.00,4656.06,0.1298,2.3900,1.5865,1,Ks
56104.208028,15.3019,0.0547,,,,,,,,,0.640,4.00,4763.19,0.0886,2.3200,0.2889,1,Ks
56104.209029,15.2728,0.0578,,,,,,,,,0.570,4.00,4775.17,0.0828,2.2700,1.5478,1,Ks
56116.117067,15.5684,0.0651,,,,,,,,,0.525,4.00,3864.65,0.1232,2.8100,0.6312,1,Ks
56116.117563,15.4949,0.0510,,,,,,,,,0.588,4.00,3863.27,0.1370,2.1900,0.7928,1,Ks
56116.118508,15.5461,0.0491,,,,,,,,,0.600,4.00,3869.88,0.0988,1.9700,0.6327,1,Ks
56126.063535,15.2270,0.0440,,,,,,,,,0.656,4.00,5008.96,0.1301,1.8300,0.1702,1,Ks
56126.064375,15.1732,0.0328,,,,,,,,,0.696,4.00,5024.98,0.1695,1.5200,0.1784,1,Ks
56135.218233,15.2917,0.0481,,,,,,,,,0.940,4.00,4157.04,0.0593,1.2600,1.5629,1,Ks
56135.219030,15.1978,0.0643,,,,,,,,,0.999,4.00,4197.06,0.1006,1.1800,1.2584,1,Ks
56140.110995,15.4130,0.0659,,,,,,,,,0.692,4.00,3432.48,0.0769,2.5800,1.1164,1,Ks
56140.111837,15.4585,0.0749,,,,,,,,,0.677,4.00,3406.05,0.0765,2.5600,0.2345,1,Ks
56140.988383,15.1920,0.0563,,,,,,,,,0.626,4.00,4001.75,0.0815,2.8000,0.1567,1,Ks
56140.989174,15.2049,0.0513,,,,,,,,,0.628,4.00,4051.50,0.0918,2.2300,0.3637,1,Ks
56143.210102,15.4659,0.0871,,,,,,,,,0.934,4.00,4253.48,0.0796,1.8900,9.7008,1,Ks
56143.210879,15.3833,0.0639,,,,,,,,,0.995,4.00,4072.56,0.0820,1.2400,0.1871,1,Ks
56154.012069,15.3945,0.0540,,,,,,,,,0.679,4.00,4727.83,0.1076,1.8900,2.5326,1,Ks
56154.012852,15.3518,0.0499,,,,,,,,,0.679,4.00,4741.23,0.1036,1.8800,0.7848,1,Ks
56154.085438,15.2177,0.0440,,,,,,,,,0.616,4.00,4338.96,0.1405,2.0100,0.6746,1,Ks
56154.086245,15.2303,0.0503,,,,,,,,,0.598,4.00,4359.58,0.1072,2.1300,0.5268,1,Ks
56156.078021,15.2975,0.1304,,,,,,,,,1.359,4.00,3343.74,0.0789,1.1000,5.8166,1,Ks
56168.059419,15.2236,0.0418,,,,,,,,,0.820,4.00,5561.91,0.0683,1.6000,2.6727,1,Ks
56168.060238,15.3466,0.0580,,,,,,,,,0.865,4.00,5555.72,0.0601,1.5000,1.4102,1,Ks
56169.084656,15.2572,0.0621,,,,,,,,,0.592,4.00,5472.99,0.0970,2.4700,0.6881,1,Ks
56169.085512,15.3132,0.0621,,,,,,,,,0.624,4.00,5483.61,0.0966,2.4500,0.3458,1,Ks
56182.012175,15.3938,0.0641,,,,,,,,,0.721,4.00,5547.27,0.1046,2.5200,0.3029,1,Ks
56182.012989,15.4255,0.0568,,,,,,,,,0.723,4.00,5551.46,0.0917,2.1200,1.1073,1,Ks
56183.070660,15.3990,0.0572,,,,,,,,,0.684,4.00,5675.94,0.0808,2.3000,0.8663,1,Ks
56183.071489,15.4789,0.0558,,,,,,,,,0.717,4.00,5684.50,0.1041,1.9100,6.7327,1,Ks
56185.986318,15.2843,0.0581,,,,,,,,,0.588,4.00,5809.44,0.1242,2.3700,2.1902,1,Ks
56185.987227,15.2431,0.0605,,,,,,,,,0.594,4.00,5798.60,0.1310,2.1900,0.7419,1,Ks
56195.055820,15.2573,0.0580,,,,,,,,,0.625,4.00,5093.85,0.0733,2.1500,1.1846,1,Ks
56195.056647,15.2178,0.0565,,,,,,,,,0.618,4.00,5110.75,0.0967,2.0000,0.0918,1,Ks
56207.028247,15.5044,0.0619,,,,,,,,,0.844,4.00,4689.08,0.0979,1.8400,1.9527,1,Ks
56207.029018,15.4859,0.0603,,,,,,,,,0.724,4.00,4683.81,0.0770,1.7000,0.7179,1,Ks
56215.998890,15.2125,0.0450,,,,,,,,,0.728,4.00,5421.08,0.0846,1.7500,0.3512,1,Ks
56215.999662,15.2099,0.0468,,,,,,,,,0.639,4.00,5439.08,0.0863,1.8600,0.4715,1,Ks
56364.356610,15.1301,0.0439,,,,,,,,,1.010,4.00,4804.71,0.0988,1.2500,1.4185,1,Ks
56364.357376,15.1657,0.0431,,,,,,,,,0.906,4.00,4797.37,0.1142,1.3300,1.0496,1,Ks
56369.370833,15.1845,0.0575,,,,,,,,,0.612,4.00,4832.63,0.1615,2.1000,2.3437,1,Ks
56369.371634,15.1793,0.0554,,,,,,,,,0.531,4.00,4855.48,0.1634,2.1700,0.8858,1,Ks
56379.327529,15.3535,0.0631,,,,,,,,,0.587,4.00,5121.52,0.1138,2.6600,2.4281,1,Ks
56379.330047,15.3167,0.0641,,,,,,,,,0.539,4.00,5120.11,0.1046,2.3900,0.6298,1,Ks
56405.374627,15.5551,0.0734,,,,,,,,,0.900,4.00,5765.56,0.0863,1.8400,5.0011,1,Ks
56405.375500,15.6037,0.0712,,,,,,,,,0.807,4.00,5789.29,0.0804,1.8400,6.2276,1,Ks
56461.095163,15.2987,0.0540,,,,,,,,,0.685,4.00,4336.63,0.0791,2.4500,0.5615,1,Ks
56461.095934,15.2832,0.0497,,,,,,,,,0.637,4.00,4276.15,0.0941,1.8600,0.6650,1,Ks
56469.232317,15.3334,0.0750,,,,,,,,,1.008,4.00,3486.47,0.0484,1.3000,4.5989,1,Ks
56469.233136,15.3794,0.0863,,,,,,,,,1.156,4.00,3498.41,0.0771,1.4200,0.8678,1,Ks
56480.050519,15.3430,0.0673,,,,,,,,,0.568,4.00,5524.71,0.0791,2.7900,0.3874,1,Ks
56480.051331,15.3822,0.0721,,,,,,,,,0.574,4.00,5526.43,0.0917,2.5200,0.7211,1,Ks
56498.022359,15.4325,0.0577,,,,,,,,,0.873,4.00,4958.63,0.0623,1.7100,0.8485,1,Ks
56498.023166,15.3748,0.0579,,,,,,,,,0.844,4.00,4945.37,0.0797,1.2400,1.8684,1,Ks
56502.158652,15.1921,0.0663,,,,,,,,,0.571,4.00,4919.70,0.1138,3.0400,1.1751,1,Ks
56502.159438,15.1789,0.0755,,,,,,,,,0.572,4.00,4911.56,0.0974,2.7200,2.2118,1,Ks
56508.155760,15.3912,0.0632,,,,,,,,,0.702,4.00,4690.92,0.0864,2.2400,1.2510,1,Ks
56508.156607,15.4060,0.0506,,,,,,,,,0.697,4.00,4719.40,0.0796,1.6200,0.3639,1,Ks
56523.072203,15.3049,0.0571,,,,,,,,,0.530,4.00,4883.41,0.0729,2.2700,0.1840,1,Ks
56523.074054,15.3122,0.0577,,,,,,,,,0.555,4.00,4883.46,0.0911,2.1300,4.1712,1,Ks
56532.030634,15.2027,0.0537,,,,,,,,,0.601,4.00,5151.23,0.1157,2.2300,1.6645,1,Ks
56532.031529,15.2333,0.0694,,,,,,,,,0.617,4.00,5159.28,0.1073,2.8000,0.1152,1,Ks
56532.083231,15.4310,0.0748,,,,,,,,,0.648,4.00,5273.88,0.0870,2.7900,0.5218,1,Ks
56532.084092,15.4280,0.0659,,,,,,,,,0.648,4.00,5276.13,0.0896,2.6700,0.7350,1,Ks
56533.030402,15.2354,0.0509,,,,,,,,,0.611,4.00,6003.59,0.0692,2.2200,0.4662,1,Ks
56533.031248,15.2805,0.0536,,,,,,,,,0.684,4.00,6011.21,0.0849,1.8900,0.1471,1,Ks
56535.021706,15.2050,0.0404,,,,,,,,,0.730,4.00,4734.35,0.1150,1.7600,0.2644,1,Ks
56535.022488,15.2125,0.0461,,,,,,,,,0.696,4.00,4720.08,0.0961,1.8300,0.1916,1,Ks
56535.101413,15.3635,0.0545,,,,,,,,,0.691,4.00,4935.06,0.1037,2.4000,0.6570,1,Ks
56535.102209,15.3977,0.0581,,,,,,,,,0.665,4.00,4938.96,0.0817,2.0200,0.9297,1,Ks
56557.008808,15.0937,0.1054,,,,,,,,,1.142,4.00,4214.03,0.0901,1.2700,9.3009,1,Ks
56557.009659,15.2932,0.0999,,,,,,,,,1.000,4.00,4210.35,0.1059,1.9500,0.4741,1,Ks
56559.041654,15.2699,0.0628,,,,,,,,,0.659,4.00,5643.04,0.1219,2.0000,0.5333,1,Ks
56559.042512,15.2410,0.0549,,,,,,,,,0.621,4.00,5648.19,0.1166,2.1900,1.8035,1,Ks
56560.061335,15.3597,0.0594,,,,,,,,,0.855,4.00,6356.75,0.0763,1.6300,1.7061,1,Ks
56560.062190,15.2375,0.0455,,,,,,,,,0.744,4.00,6355.71,0.0782,1.4700,0.2324,1,Ks
56572.049441,15.3388,0.0478,,,,,,,,,0.760,4.00,5337.54,0.0902,1.6200,0.0699,1,Ks
56572.050229,15.3173,0.0488,,,,,,,,,0.834,4.00,5337.54,0.0885,1.4500,0.2251,1,Ks
56573.048135,15.5068,0.0602,,,,,,,,,0.878,4.00,6498.88,0.0858,1.8300,1.6310,1,Ks
56573.048891,15.4708,0.0787,,,,,,,,,0.892,4.00,6469.71,0.0708,1.7200,0.2430,1,Ks
56586.020627,15.1860,0.0405,,,,,,,,,0.766,4.00,6219.50,0.0906,1.6700,1.0443,1,Ks
56586.021414,15.2169,0.0420,,,,,,,,,0.770,4.00,6237.34,0.0939,1.6200,0.0252,1,Ks
56770.371083,15.3582,0.1559,,,,,,,,,1.357,4.00,4757.41,0.1446,1.2400,12.2210,1,Ks
56770.371956,15.6403,0.2355,,,,,,,,,1.453,4.00,4748.02,0.0925,1.5100,0.8766,1,Ks
56798.363013,15.3009,0.0642,,,,,,,,,0.844,4.00,4454.33,0.0646,1.6800,1.3700,1,Ks
56798.363847,15.3797,0.0414,,,,,,,,,0.761,4.00,4476.99,0.0707,1.5500,0.1968,1,Ks
56810.159136,15.3429,0.0679,,,,,,,,,0.585,4.00,5582.34,0.0909,2.5900,1.7076,1,Ks
56810.171191,15.2939,0.0517,,,,,,,,,0.588,4.00,5523.46,0.1005,2.2000,1.1561,1,Ks
56810.172016,15.3418,0.0538,,,,,,,,,0.662,4.00,5516.04,0.1228,1.9700,1.0388,1,Ks
56814.067166,15.1803,0.0535,,,,,,,,,0.904,4.00,4968.71,0.0850,1.5200,2.6381,1,Ks
56814.067969,15.2344,0.0462,,,,,,,,,0.836,4.00,4984.69,0.1152,1.5200,0.4563,1,Ks
56872.095464,15.4255,0.0577,,,,,,,,,0.763,4.00,5207.61,0.0631,2.1200,0.4893,1,Ks
56872.096326,15.4668,0.0661,,,,,,,,,0.653,4.00,5212.51,0.0966,2.4500,0.0960,1,Ks
56872.108607,15.4818,0.0510,,,,,,,,,0.809,4.00,5213.88,0.1160,1.9000,0.3638,1,Ks
56872.109452,15.5179,0.0638,,,,,,,,,0.788,4.00,5215.05,0.1001,1.9500,0.1817,1,Ks
56873.085219,15.5013,0.0562,,,,,,,,,0.641,4.00,5056.71,0.1093,2.5000,0.5279,1,Ks
56873.086078,15.5185,0.0667,,,,,,,,,0.605,4.00,5068.65,0.1153,2.4700,0.9987,1,Ks
56873.100301,15.6531,0.0975,,,,,,,,,0.605,4.00,5169.81,0.1175,3.1500,1.9144,1,Ks
56873.101186,15.5006,0.0654,,,,,,,,,0.631,4.00,5143.27,0.1062,2.3600,0.1548,1,Ks
56873.150600,15.3133,0.0650,,,,,,,,,1.055,4.00,5059.59,0.0730,1.3400,6.8332,1,Ks
56873.151420,15.3813,0.0668,,,,,,,,,0.978,4.00,5051.08,0.0739,1.2100,0.2571,1,Ks
56873.162525,15.3697,0.0492,,,,,,,,,0.866,4.00,5244.15,0.0697,1.6700,0.1830,1,Ks
56873.176368,15.3177,0.0560,,,,,,,,,0.888,4.00,5521.58,0.0777,1.6300,0.2660,1,Ks
56873.177156,15.2961,0.0819,,,,,,,,,1.086,4.00,5566.17,0.0686,1.0800,0.1535,1,Ks
56873.188232,15.2191,0.1271,,,,,,,,,1.008,4.00,5828.17,0.1013,1.5800,0.1736,1,Ks
56873.189024,15.3222,0.0669,,,,,,,,,1.049,4.00,5804.92,0.0807,1.0700,0.0597,1,Ks
56873.201493,15.2788,0.0607,,,,,,,,,1.016,4.00,5850.74,0.0701,1.2800,1.1213,1,Ks
56873.202259,15.2317,0.0786,,,,,,,,,0.943,4.00,5916.94,0.0646,1.9300,0.0478,1,Ks
56898.112710,15.5674,0.0755,,,,,,,,,0.695,4.00,4420.12,0.0680,2.5700,0.9969,1,Ks
56898.113533,15.5340,0.0513,,,,,,,,,0.782,4.00,4415.19,0.0628,1.7500,1.8238,1,Ks
56911.066813,15.2458,0.0625,,,,,,,,,0.604,4.00,4753.29,0.0896,2.5400,0.3284,1,Ks
56911.067654,15.2635,0.0572,,,,,,,,,0.700,4.00,4777.62,0.0996,2.1400,0.1234,1,Ks
