mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55308.319770,,,,,,,,,15.1001,0.0157,0.716,4.00,2995.82,0.0696,0.7200,0.4578,1,H
55308.322030,14.9891,0.0213,,,,,,,,,0.729,4.00,3760.53,0.0792,0.7100,2.8711,1,Ks
55308.324744,,,,,,,15.4410,0.0089,,,0.749,6.00,763.19,0.1009,0.4400,0.1606,1,J
55334.316864,14.7832,0.0273,,,,,,,,,0.980,4.00,3695.79,0.0656,0.6800,1.0412,1,Ks
55378.329349,14.8221,0.0295,,,,,,,,,0.850,4.00,4471.33,0.0631,0.8200,1.7865,1,Ks
55378.362299,,,,,15.5379,0.0162,,,,,1.401,10.00,426.30,0.0832,0.2300,3.1808,1,Y
55422.218341,,,,,,,,,14.9782,0.0297,0.796,4.00,2332.22,0.0649,1.3400,13.1542,1,H
55422.221253,14.8008,0.0403,,,,,,,,,0.790,4.00,3666.46,0.1017,1.4200,13.7092,1,Ks
55423.104064,,,,,,,,,14.9881,0.0306,0.641,4.00,2181.18,0.1333,1.9200,14.4630,1,H
55423.107280,15.3279,0.0568,,,,,,,,,0.639,4.00,4179.48,0.1281,1.9600,165.6137,1,Ks
55423.110492,,,,,,,15.4077,0.0432,,,0.721,6.00,757.80,0.1413,1.8900,31.7221,1,J
55445.124669,,,,,15.5389,0.0093,,,,,0.952,10.00,317.14,0.0668,0.2800,0.5991,1,Y
55445.129355,,,15.7747,0.0131,,,,,,,0.963,10.00,122.17,0.0749,0.3900,0.3596,1,Z
55493.030545,14.7493,0.0237,,,,,,,,,0.672,4.00,5516.63,0.0606,1.0800,0.0831,1,Ks
55496.021605,14.8277,0.0284,,,,,,,,,0.936,4.00,6885.02,0.0522,0.8000,2.7427,1,Ks
55497.028236,14.7772,0.0255,,,,,,,,,0.837,4.00,5268.67,0.0794,0.8800,0.3075,1,Ks
55497.991704,14.8250,0.0259,,,,,,,,,0.757,4.00,5716.40,0.0580,1.1100,0.8528,1,Ks
55498.010324,14.8267,0.0291,,,,,,,,,0.670,4.00,6002.94,0.0732,1.1100,1.1488,1,Ks
55787.234900,14.9183,0.0363,,,,,,,,,0.843,4.00,4800.96,0.0789,1.0600,0.0931,1,Ks
55794.165010,,,,,15.7514,0.0269,,,,,0.797,10.00,338.23,0.0664,0.6900,2.9771,1,Y
55794.168472,,,16.1223,0.0369,,,,,,,1.006,10.00,127.49,0.0550,0.5000,3.1187,1,Z
55806.177570,14.9481,0.0297,,,,,,,,,0.631,4.00,6099.46,0.0902,1.2300,0.3687,1,Ks
55806.202412,15.0229,0.0329,,,,,,,,,0.855,4.00,6334.12,0.0718,1.1300,0.8100,1,Ks
55818.144151,14.7932,0.0270,,,,,,,,,0.834,4.00,6023.13,0.1234,1.1800,0.0231,1,Ks
55819.070397,14.8379,0.0283,,,,,,,,,0.862,4.00,5194.90,0.0742,0.9700,3.3259,1,Ks
55821.118080,14.7978,0.0227,,,,,,,,,0.851,4.00,5250.24,0.1296,0.9600,0.8627,1,Ks
