mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55284.386764,,,,,,,,,14.4212,0.0174,0.763,10.00,7938.12,0.0987,1.7900,0.2214,1,H
55284.387598,,,,,,,,,14.4520,0.0081,0.772,10.00,7818.79,0.0982,0.8700,0.0549,1,H
55284.388431,,,,,,,,,14.4478,0.0064,0.760,10.00,7700.25,0.0955,0.6300,0.3331,1,H
55284.391922,14.1351,0.0228,,,,,,,,,0.764,10.00,11607.75,0.1135,1.9300,0.0520,1,Ks
55284.392760,14.1447,0.0121,,,,,,,,,0.745,10.00,11520.59,0.1247,0.8700,0.0123,1,Ks
55284.393596,14.1400,0.0122,,,,,,,,,0.706,10.00,11491.74,0.1404,0.8800,0.1116,1,Ks
55284.397037,,,,,,,15.2763,0.0173,,,0.719,10.00,1300.64,0.0697,1.2400,1.7956,1,J
55284.397850,,,,,,,15.2478,0.0075,,,0.756,10.00,1288.32,0.0690,0.5000,0.4260,1,J
55284.398638,,,,,,,15.2552,0.0080,,,0.742,10.00,1269.39,0.0908,0.5200,0.2006,1,J
55428.161662,14.1576,0.0170,,,,,,,,,0.777,4.00,4338.60,0.0679,0.8100,1.1891,1,Ks
55428.162102,14.1587,0.0196,,,,,,,,,0.811,4.00,4369.15,0.1225,0.9800,2.6187,1,Ks
55428.162559,14.1568,0.0215,,,,,,,,,0.814,4.00,4395.25,0.1121,1.0600,0.1934,1,Ks
55694.400141,14.0767,0.0200,,,,,,,,,0.582,4.00,7065.31,0.0837,1.3200,1.6873,1,Ks
55694.400550,14.0774,0.0149,,,,,,,,,0.642,4.00,7091.63,0.0908,1.0700,0.7135,1,Ks
55694.400955,14.0885,0.0274,,,,,,,,,0.623,4.00,7130.40,0.1212,1.6100,0.3663,1,Ks
55695.309939,14.0236,0.0244,,,,,,,,,0.544,4.00,4676.71,0.0968,1.7400,0.0396,1,Ks
55695.310359,13.9677,0.0236,,,,,,,,,0.523,4.00,4668.91,0.0950,1.6900,0.0388,1,Ks
55695.310816,13.9743,0.0198,,,,,,,,,0.566,4.00,4676.11,0.1045,1.2700,0.0053,1,Ks
55696.307651,13.9617,0.0178,,,,,,,,,0.658,4.00,5199.86,0.1099,1.1300,2.5761,1,Ks
55696.308064,13.9666,0.0150,,,,,,,,,0.618,4.00,5195.77,0.0904,0.9500,0.0432,1,Ks
55696.308494,13.9737,0.0217,,,,,,,,,0.591,4.00,5193.65,0.0864,1.5200,0.5064,1,Ks
55697.351707,14.0826,0.0282,,,,,,,,,0.534,4.00,5193.81,0.0968,2.0300,0.6230,1,Ks
55697.352121,14.0620,0.0238,,,,,,,,,0.570,4.00,5220.03,0.0853,1.5000,0.0240,1,Ks
55697.352555,14.0557,0.0308,,,,,,,,,0.527,4.00,5235.50,0.0894,2.0800,1.1510,1,Ks
