mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55326.312889,,,,,,,,,14.6754,0.0118,0.686,4.00,3616.59,0.1047,0.9500,0.0874,1,H
55326.313536,,,,,,,,,14.6921,0.0158,0.688,4.00,3602.66,0.1722,1.1800,0.6352,1,H
55326.315248,14.5851,0.0197,,,,,,,,,0.674,4.00,5046.37,0.0838,1.1100,2.0170,1,Ks
55326.315918,14.5582,0.0207,,,,,,,,,0.684,4.00,5053.93,0.1472,1.0500,0.6082,1,Ks
55326.317549,,,,,,,15.0906,0.0072,,,0.722,6.00,1095.80,0.1408,0.6000,0.1144,1,J
55326.318636,,,,,,,15.0904,0.0086,,,0.742,6.00,1112.18,0.1092,0.6600,0.3961,1,J
55387.250422,,,,,,,,,14.7288,0.0160,0.753,4.00,3707.76,0.0553,0.8500,0.7863,1,H
55387.251362,,,,,,,,,14.7390,0.0182,0.746,4.00,3900.42,0.0620,1.0500,0.0691,1,H
55387.253549,14.6187,0.0210,,,,,,,,,0.739,4.00,4339.83,0.0864,0.9100,1.3416,1,Ks
55387.254469,14.6060,0.0205,,,,,,,,,0.774,4.00,4350.85,0.0701,0.9300,0.3110,1,Ks
55387.256637,,,,,,,15.1207,0.0097,,,0.797,6.00,895.13,0.0842,0.4800,1.1828,1,J
55411.093811,,,,,,,,,14.9475,0.0198,0.821,4.00,2671.68,0.0736,0.8600,0.1571,1,H
55411.094768,,,,,,,,,14.9386,0.0189,0.758,4.00,2704.41,0.0594,0.8900,0.8351,1,H
55411.097070,14.8261,0.0210,,,,,,,,,0.721,4.00,3575.98,0.0492,0.9500,0.5839,1,Ks
55411.098021,14.8340,0.0215,,,,,,,,,0.635,4.00,3578.80,0.0577,0.9600,0.1262,1,Ks
55411.100307,,,,,,,15.3445,0.0121,,,0.698,6.00,734.89,0.0926,0.8700,0.7469,1,J
55411.101706,,,,,,,15.3678,0.0074,,,0.735,6.00,735.21,0.0796,0.4300,0.1389,1,J
55484.039091,14.6171,0.0283,,,,,,,,,0.671,4.00,5438.61,0.0502,1.2400,2.5074,1,Ks
55484.040047,14.6021,0.0278,,,,,,,,,0.633,4.00,5458.31,0.0604,1.0500,0.1985,1,Ks
55690.402441,14.6059,0.0218,,,,,,,,,0.686,4.00,5809.56,0.0552,1.0300,0.4313,1,Ks
