mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55285.371428,13.8593,0.0183,,,,,,,,,0.816,4.00,5136.07,0.1088,1.0400,0.2598,1,Ks
55285.372077,13.8272,0.0159,,,,,,,,,0.746,4.00,5125.00,0.0984,0.9600,5.2189,1,Ks
55295.341547,,,,,,,,,14.1058,0.0143,0.615,4.00,2342.36,0.1344,1.6500,0.1548,1,H
55295.342196,,,,,,,,,14.0931,0.0158,0.625,4.00,2343.55,0.1298,1.7100,0.8384,1,H
55295.343893,13.8256,0.0171,,,,,,,,,0.608,4.00,4815.46,0.1277,1.2600,1.2460,1,Ks
55295.344529,13.8365,0.0172,,,,,,,,,0.609,4.00,4812.02,0.1470,1.2500,0.0473,1,Ks
55295.346180,,,,,,,14.7694,0.0112,,,0.654,6.00,803.56,0.0869,0.9100,1.4893,1,J
55295.347314,,,,,,,14.7734,0.0128,,,0.685,6.00,807.56,0.1079,0.9000,0.0701,1,J
55296.328325,,,,,,,,,14.0510,0.0154,0.614,4.00,2980.95,0.0847,1.8700,0.5763,1,H
55296.328989,,,,,,,,,14.0366,0.0156,0.646,4.00,2977.70,0.1191,1.9100,1.8101,1,H
55296.330694,13.7840,0.0211,,,,,,,,,0.632,4.00,4714.85,0.0946,1.5600,0.2669,1,Ks
55296.331307,13.8037,0.0200,,,,,,,,,0.623,4.00,4693.51,0.0850,1.3400,0.3884,1,Ks
55296.333047,,,,,,,14.7140,0.0094,,,0.672,6.00,845.82,0.0929,0.7000,1.0925,1,J
55296.334156,,,,,,,14.7137,0.0118,,,0.681,6.00,853.77,0.0832,0.8500,0.2940,1,J
55771.033879,13.7649,0.0202,,,,,,,,,0.731,4.00,5119.81,0.0758,0.7900,0.7099,1,Ks
55771.034850,13.7608,0.0149,,,,,,,,,0.598,4.00,5112.25,0.0839,0.8200,0.2381,1,Ks
55791.108096,14.0481,0.0180,,,,,,,,,0.631,4.00,4580.67,0.1511,1.1500,1.7643,1,Ks
55791.108944,14.0571,0.0212,,,,,,,,,0.666,4.00,4667.63,0.1324,1.2600,0.1926,1,Ks
55802.107635,,,,,15.4652,0.0087,,,,,0.766,10.00,492.59,0.0743,0.5500,5.5618,1,Y
55802.108715,,,,,15.4829,0.0066,,,,,0.814,10.00,491.20,0.1269,0.4100,1.4844,1,Y
55802.111050,,,16.0295,0.0072,,,,,,,0.736,10.00,157.64,0.0888,0.3800,2.6571,1,Z
55802.112969,,,16.0425,0.0099,,,,,,,0.742,10.00,162.28,0.0765,0.5400,0.0186,1,Z
