mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55294.379088,,,,,,,,,15.4074,0.0146,0.705,4.00,2483.63,0.1061,1.0200,2.5283,1,H
55294.379732,,,,,,,,,15.4350,0.0125,0.676,4.00,2510.62,0.0755,0.7700,0.5889,1,H
55294.381397,15.2855,0.0215,,,,,,,,,0.611,4.00,4813.04,0.0621,1.1700,0.9707,1,Ks
55294.381997,15.2356,0.0203,,,,,,,,,0.631,4.00,4815.52,0.0833,1.1700,1.1275,1,Ks
55294.383689,,,,,,,15.8004,0.0087,,,0.652,6.00,805.43,0.1019,0.6300,0.7343,1,J
55294.384762,,,,,,,15.7908,0.0074,,,0.633,6.00,810.23,0.0849,0.6000,0.2138,1,J
55434.175670,15.3398,0.0231,,,,,,,,,0.689,4.00,4356.10,0.0514,1.0500,0.5374,1,Ks
55434.176595,15.4301,0.0362,,,,,,,,,0.690,4.00,4379.09,0.0669,1.3100,0.3829,1,Ks
55435.187224,15.1772,0.0201,,,,,,,,,0.739,4.00,3872.50,0.0589,0.6900,0.8060,1,Ks
55435.188094,15.2012,0.0220,,,,,,,,,0.693,4.00,3895.48,0.0556,0.8100,1.2031,1,Ks
55788.213769,,,,,15.9602,0.0117,,,,,0.939,10.00,419.82,0.0510,0.4000,0.5090,1,Y
55788.214838,,,,,15.9622,0.0098,,,,,0.954,10.00,414.60,0.0526,0.3500,0.7427,1,Y
55788.217235,,,16.2405,0.0111,,,,,,,1.106,10.00,198.62,0.0933,0.3700,0.0854,1,Z
55788.218323,,,16.2364,0.0104,,,,,,,1.089,10.00,200.32,0.0699,0.3300,0.0278,1,Z
55804.159810,15.1559,0.0391,,,,,,,,,0.644,4.00,5878.90,0.0715,1.5000,0.6110,1,Ks
55804.160600,15.1741,0.0322,,,,,,,,,0.667,4.00,5890.96,0.0812,1.2600,2.2086,1,Ks
55817.087315,15.1496,0.0356,,,,,,,,,0.672,4.00,5624.25,0.0786,1.1500,1.3657,1,Ks
55817.088159,15.2034,0.0309,,,,,,,,,0.750,4.00,5614.71,0.0733,1.1500,0.1876,1,Ks
55821.104620,15.2023,0.0258,,,,,,,,,0.751,4.00,4848.29,0.0617,1.1100,0.0285,1,Ks
55821.105426,15.2953,0.0343,,,,,,,,,0.869,4.00,4871.51,0.0460,0.9000,0.7515,1,Ks
55824.028250,15.1895,0.0262,,,,,,,,,0.698,4.00,5039.92,0.0820,1.1600,0.3773,1,Ks
55824.029224,15.2450,0.0294,,,,,,,,,0.723,4.00,5041.33,0.0595,1.1500,1.5230,1,Ks
55831.064538,15.2513,0.0380,,,,,,,,,0.842,4.00,6113.23,0.0609,0.9900,0.3959,1,Ks
55831.065347,15.1961,0.0393,,,,,,,,,0.727,4.00,6137.35,0.0712,1.3400,0.1382,1,Ks
56010.389432,15.1959,0.0191,,,,,,,,,0.607,4.00,4808.93,0.0626,0.8000,0.6490,1,Ks
56010.390300,15.1941,0.0213,,,,,,,,,0.586,4.00,4849.04,0.0671,0.8500,1.0684,1,Ks
56090.190394,15.2600,0.0245,,,,,,,,,0.601,4.00,3905.31,0.0660,1.1800,0.3492,1,Ks
56090.191343,15.2295,0.0222,,,,,,,,,0.614,4.00,3960.43,0.0541,1.0800,2.6010,1,Ks
56100.087571,15.1995,0.0376,,,,,,,,,1.044,4.00,4298.69,0.0868,0.8500,0.8528,1,Ks
56100.088383,15.1923,0.0327,,,,,,,,,0.771,4.00,4330.81,0.0635,1.3500,0.1728,1,Ks
56113.245428,15.2618,0.0285,,,,,,,,,0.610,4.00,4098.63,0.0480,1.1300,0.1514,1,Ks
56113.246446,15.3168,0.0248,,,,,,,,,0.640,4.00,4084.98,0.0590,1.1400,0.1120,1,Ks
56115.229552,15.2762,0.0206,,,,,,,,,0.738,4.00,3227.57,0.1535,1.1000,0.1813,1,Ks
56115.230428,15.2572,0.0255,,,,,,,,,0.620,4.00,3235.17,0.1313,0.9500,1.3317,1,Ks
56122.251549,15.3099,0.0304,,,,,,,,,0.901,4.00,3922.32,0.0760,0.8000,0.0960,1,Ks
56122.252357,15.3202,0.0400,,,,,,,,,1.028,4.00,3911.07,0.1243,0.9800,0.9004,1,Ks
56123.112912,15.1774,0.0301,,,,,,,,,0.835,4.00,4302.64,0.0505,0.9000,1.6798,1,Ks
56123.113699,15.2323,0.0343,,,,,,,,,0.976,4.00,4382.44,0.0627,1.0800,1.2193,1,Ks
56137.048602,15.2425,0.0327,,,,,,,,,0.991,4.00,3617.17,0.0652,0.7900,1.0975,1,Ks
56137.049398,15.1737,0.0373,,,,,,,,,0.986,4.00,3594.39,0.0595,1.0500,1.0422,1,Ks
56143.248642,15.2232,0.0316,,,,,,,,,0.975,4.00,3555.70,0.0702,0.9800,0.6481,1,Ks
56143.249395,15.2728,0.0336,,,,,,,,,1.030,4.00,3584.68,0.0687,1.0200,0.4225,1,Ks
56154.149081,15.1342,0.0166,,,,,,,,,0.772,4.00,4294.71,0.0614,0.6100,0.0703,1,Ks
56154.149867,15.1538,0.0255,,,,,,,,,0.737,4.00,4236.73,0.0722,0.8000,0.0996,1,Ks
56155.053197,15.2801,0.0259,,,,,,,,,0.784,4.00,3523.73,0.0535,0.9100,0.5668,1,Ks
56155.054062,15.2559,0.0248,,,,,,,,,0.739,4.00,3506.12,0.0682,0.8700,0.3598,1,Ks
56159.063366,15.1742,0.0234,,,,,,,,,0.662,4.00,4189.81,0.1038,0.8200,0.1554,1,Ks
56159.064268,15.1692,0.0196,,,,,,,,,0.661,4.00,4200.58,0.0835,0.8600,0.6755,1,Ks
56160.189815,15.1106,0.0218,,,,,,,,,0.720,4.00,4312.12,0.0707,0.8300,1.8338,1,Ks
56160.190568,15.1476,0.0307,,,,,,,,,0.730,4.00,4349.63,0.0497,1.2500,0.7466,1,Ks
56172.172522,15.4028,0.0819,,,,,,,,,0.966,4.00,5693.87,0.0900,1.7100,3.7467,1,Ks
56172.173280,15.2421,0.1097,,,,,,,,,1.027,4.00,5680.54,0.0762,1.1700,4.3523,1,Ks
56179.153901,15.2009,0.0255,,,,,,,,,0.824,4.00,5306.12,0.0620,1.0200,0.0479,1,Ks
56179.154605,15.1980,0.0286,,,,,,,,,0.815,4.00,5358.70,0.0644,1.0400,2.0809,1,Ks
56187.150558,15.2827,0.0399,,,,,,,,,0.868,4.00,5848.01,0.0720,1.0100,0.0749,1,Ks
56187.151310,15.2469,0.0343,,,,,,,,,0.758,4.00,5778.58,0.0684,1.2600,0.7228,1,Ks
56190.124390,15.2060,0.0221,,,,,,,,,0.707,4.00,4509.23,0.0751,0.8400,2.5689,1,Ks
56190.125171,15.2093,0.0243,,,,,,,,,0.693,4.00,4506.25,0.0712,0.9800,1.2132,1,Ks
56191.091593,15.3199,0.0282,,,,,,,,,0.595,4.00,4143.04,0.0870,1.3100,0.5413,1,Ks
56191.092365,15.2777,0.0227,,,,,,,,,0.624,4.00,4145.65,0.0797,1.0400,0.5416,1,Ks
56197.119644,15.3554,0.0433,,,,,,,,,0.885,4.00,5750.66,0.0609,1.1800,1.6216,1,Ks
56197.120377,15.3879,0.0442,,,,,,,,,0.836,4.00,5748.85,0.0527,1.1100,0.0453,1,Ks
56198.117439,15.3843,0.0693,,,,,,,,,1.279,4.00,4543.69,0.0664,1.0500,2.1338,1,Ks
56198.118220,15.3360,0.0416,,,,,,,,,1.126,4.00,4481.02,0.0797,0.9300,0.2419,1,Ks
56208.083596,15.2980,0.0418,,,,,,,,,0.849,4.00,4822.88,0.0555,1.1500,0.7541,1,Ks
56208.084356,15.1840,0.0405,,,,,,,,,0.944,4.00,4867.25,0.0516,0.9800,0.1472,1,Ks
56211.074639,15.2370,0.0236,,,,,,,,,0.741,4.00,4626.17,0.0608,0.7500,0.2939,1,Ks
56211.075454,15.2898,0.0362,,,,,,,,,0.761,4.00,4641.71,0.0548,1.1000,0.2277,1,Ks
56218.051483,15.2000,0.0494,,,,,,,,,1.050,4.00,6235.58,0.0847,1.0800,0.7260,1,Ks
56218.052232,15.2306,0.0480,,,,,,,,,1.127,4.00,6278.90,0.0583,1.1900,0.0765,1,Ks
56224.042622,15.3224,0.0274,,,,,,,,,0.676,4.00,5298.29,0.0679,1.0100,1.9942,1,Ks
56224.043888,15.2324,0.0362,,,,,,,,,0.728,4.00,5354.35,0.0745,1.2200,0.2777,1,Ks
56226.027034,15.2663,0.0435,,,,,,,,,0.852,4.00,6445.22,0.0495,1.1800,0.8929,1,Ks
56226.027770,15.2865,0.0470,,,,,,,,,0.899,4.00,6413.03,0.0716,1.1900,0.0784,1,Ks
56234.014091,15.2677,0.0480,,,,,,,,,1.011,4.00,6720.37,0.1029,1.3200,2.2089,1,Ks
56234.014823,15.3030,0.0448,,,,,,,,,0.778,4.00,6646.12,0.0714,1.3100,1.1165,1,Ks
56239.000525,15.2718,0.0418,,,,,,,,,0.842,4.00,5924.27,0.0820,1.2100,1.1536,1,Ks
56239.001305,15.2873,0.0334,,,,,,,,,0.816,4.00,6008.12,0.0861,1.0600,1.8596,1,Ks
56382.289996,15.2041,0.0270,,,,,,,,,0.783,4.00,4887.05,0.0615,0.8600,0.1838,1,Ks
56382.291320,15.2150,0.0308,,,,,,,,,0.881,4.00,4828.89,0.0504,0.9900,0.3430,1,Ks
56520.037403,15.3284,0.0203,,,,,,,,,0.516,4.00,5436.83,0.0799,0.9600,0.0188,1,Ks
56520.038228,15.3591,0.0280,,,,,,,,,0.586,4.00,5425.86,0.0865,1.1300,0.0704,1,Ks
56573.981862,15.1816,0.0291,,,,,,,,,0.579,4.00,5201.77,0.0582,1.0200,1.8001,1,Ks
56573.982721,15.1431,0.0223,,,,,,,,,0.662,4.00,5173.32,0.0744,0.9400,0.1655,1,Ks
56581.046365,15.2007,0.0335,,,,,,,,,0.678,4.00,5759.34,0.1154,1.4000,0.1106,1,Ks
56581.047186,15.1456,0.0337,,,,,,,,,0.663,4.00,5895.77,0.0729,1.1300,0.0097,1,Ks
56583.050910,15.3083,0.0436,,,,,,,,,1.114,4.00,5940.00,0.1064,1.2900,1.0882,1,Ks
56583.051662,15.3030,0.0520,,,,,,,,,1.228,4.00,5939.61,0.0775,1.2400,1.2888,1,Ks
56733.351303,15.2210,0.0269,,,,,,,,,0.577,4.00,5220.87,0.0573,1.0800,1.1479,1,Ks
56733.352177,15.1899,0.0382,,,,,,,,,0.568,4.00,5220.12,0.0887,1.4500,0.5681,1,Ks
56743.392152,15.2506,0.0331,,,,,,,,,0.806,4.00,4817.10,0.0510,1.0100,1.0063,1,Ks
56743.393560,15.4457,0.0822,,,,,,,,,1.171,4.00,4839.19,0.2358,1.1100,1.8970,1,Ks
56782.405454,15.4389,0.0361,,,,,,,,,0.775,4.00,5143.40,0.0475,1.0200,2.7130,1,Ks
56782.406261,15.3583,0.0341,,,,,,,,,0.767,4.00,5154.77,0.0601,1.1500,0.9077,1,Ks
56789.206695,15.1974,0.0421,,,,,,,,,0.906,4.00,4813.36,0.0745,0.9200,1.9571,1,Ks
56789.207482,15.1981,0.0401,,,,,,,,,0.906,4.00,4838.25,0.0863,1.1200,0.9551,1,Ks
56798.404400,15.4130,0.0386,,,,,,,,,0.947,4.00,4547.75,0.0415,0.9900,0.0167,1,Ks
56798.405228,15.3908,0.0473,,,,,,,,,0.914,4.00,4566.59,0.0455,1.2600,0.0079,1,Ks
56808.189402,15.2574,0.0253,,,,,,,,,0.792,4.00,3912.38,0.0941,0.9500,0.0015,1,Ks
56808.190191,15.2049,0.0278,,,,,,,,,0.803,4.00,3785.53,0.0894,0.8200,0.8457,1,Ks
56809.240143,15.2359,0.0264,,,,,,,,,0.768,4.00,4100.08,0.0589,0.9000,0.7240,1,Ks
56809.240964,15.1766,0.0239,,,,,,,,,0.661,4.00,4028.94,0.0943,1.0000,0.6455,1,Ks
56815.213472,15.2220,0.0261,,,,,,,,,0.662,4.00,3630.91,0.0662,1.0100,0.1673,1,Ks
56815.214345,15.1983,0.0328,,,,,,,,,0.680,4.00,3626.76,0.0680,1.0800,1.0241,1,Ks
56817.215845,15.4468,0.0273,,,,,,,,,0.684,4.00,4151.30,0.1139,1.0500,0.3743,1,Ks
56817.216685,15.4445,0.0271,,,,,,,,,0.703,4.00,4152.58,0.1359,1.0400,1.9966,1,Ks
56826.278566,15.1633,0.0484,,,,,,,,,1.287,4.00,5100.62,0.1091,0.9600,0.2668,1,Ks
