mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55327.349730,14.0309,0.0229,,,,,,,,,0.810,4.00,5342.25,0.1290,1.1600,0.3139,1,Ks
55327.350054,14.0322,0.0204,,,,,,,,,0.817,4.00,5340.06,0.2018,0.8700,1.0926,1,Ks
55444.124479,,,,,,,,,14.5567,0.0282,0.883,4.00,3683.79,0.0607,0.8900,0.6958,1,H
55444.124963,,,,,,,,,14.5536,0.0231,0.950,4.00,3718.11,0.0601,0.6600,0.1542,1,H
55444.127614,14.3924,0.0223,,,,,,,,,0.795,4.00,4084.08,0.0627,0.9300,1.5114,1,Ks
55444.128088,14.3432,0.0229,,,,,,,,,0.855,4.00,4083.54,0.0596,0.8200,1.2033,1,Ks
55444.130969,,,,,,,15.1150,0.0246,,,1.077,6.00,1002.17,0.0477,0.5400,1.0207,1,J
55444.132325,,,,,,,15.1440,0.0296,,,1.131,6.00,1007.70,0.0542,0.4900,0.1193,1,J
55454.061871,,,,,15.3050,0.0235,,,,,1.357,10.00,2418.40,0.0908,0.4500,0.1756,1,Y
55454.062492,,,,,15.3377,0.0244,,,,,1.242,10.00,2387.58,0.1191,0.5900,0.1170,1,Y
55454.066872,,,15.8259,0.0215,,,,,,,1.316,10.00,2566.13,0.0619,0.5200,0.2961,1,Z
55454.067488,,,15.8693,0.0301,,,,,,,1.485,10.00,2555.78,0.0479,0.4400,1.7838,1,Z
55458.029175,,,,,15.3739,0.0127,,,,,1.026,10.00,697.80,0.0418,0.4100,0.0030,1,Y
55458.033452,,,15.8693,0.0117,,,,,,,1.235,10.00,302.29,0.0429,0.3000,0.0731,1,Z
55463.048610,,,,,15.3626,0.0125,,,,,1.102,10.00,636.64,0.0600,0.3300,4.1850,1,Y
55463.049208,,,,,15.3761,0.0154,,,,,1.114,10.00,638.09,0.0512,0.4400,0.4921,1,Y
55463.053028,,,15.8550,0.0120,,,,,,,1.068,10.00,291.76,0.0580,0.4400,0.1377,1,Z
55463.053677,,,15.8671,0.0147,,,,,,,1.075,10.00,290.83,0.0660,0.4000,0.5971,1,Z
55690.322892,,,,,,,,,14.2253,0.0117,0.642,4.00,3036.40,0.0866,1.1300,1.3504,1,H
55690.323328,,,,,,,,,14.2263,0.0138,0.625,4.00,3040.76,0.0912,1.2900,0.9793,1,H
55690.325804,14.0301,0.0138,,,,,,,,,0.635,4.00,5408.71,0.1004,1.0200,0.1954,1,Ks
55690.326220,14.0312,0.0141,,,,,,,,,0.745,4.00,5412.10,0.0896,0.9900,0.5976,1,Ks
55690.330288,,,,,,,14.7412,0.0111,,,0.660,6.00,934.33,0.0927,0.8600,2.7524,1,J
55690.330981,,,,,,,14.7417,0.0068,,,0.658,6.00,931.21,0.0761,0.4900,1.0402,1,J
55736.196454,14.0464,0.0200,,,,,,,,,0.848,4.00,3698.92,0.0934,0.8200,0.0440,1,Ks
55736.196889,14.0572,0.0147,,,,,,,,,0.788,4.00,3683.15,0.0820,0.6800,0.3354,1,Ks
55767.200305,14.0816,0.0195,,,,,,,,,0.575,4.00,4911.41,0.1533,1.1200,0.2614,1,Ks
55767.200687,14.0906,0.0189,,,,,,,,,0.574,4.00,4909.14,0.1179,1.1300,0.1773,1,Ks
55768.183943,14.2644,0.0280,,,,,,,,,0.881,4.00,4818.25,0.2633,1.7600,0.4918,1,Ks
55768.227037,14.1293,0.0217,,,,,,,,,0.846,4.00,4990.02,0.0914,0.9200,0.4127,1,Ks
55768.227514,14.0969,0.0165,,,,,,,,,0.761,4.00,4973.27,0.0732,0.8700,0.2490,1,Ks
55803.120530,14.0525,0.0177,,,,,,,,,0.755,4.00,5328.33,0.0643,0.9000,1.8803,1,Ks
55803.120932,14.0269,0.0197,,,,,,,,,0.773,4.00,5318.42,0.0780,1.1900,0.6112,1,Ks
55808.057837,14.0069,0.0145,,,,,,,,,0.726,4.00,5085.19,0.0987,0.9400,0.0490,1,Ks
55808.058285,13.9868,0.0141,,,,,,,,,0.677,4.00,5063.52,0.0879,1.1100,0.2630,1,Ks
55817.029981,14.0129,0.0143,,,,,,,,,0.710,4.00,5782.16,0.0947,0.7900,1.0681,1,Ks
55817.030420,14.0198,0.0175,,,,,,,,,0.687,4.00,5790.40,0.0706,0.9600,0.5821,1,Ks
55828.002283,13.9779,0.0196,,,,,,,,,0.693,4.00,5783.54,0.1008,1.1200,0.8718,1,Ks
55828.002684,13.9898,0.0154,,,,,,,,,0.646,4.00,5772.24,0.0667,1.0100,0.8734,1,Ks
55829.029127,13.9879,0.0204,,,,,,,,,0.773,4.00,6456.77,0.0865,1.2600,0.2294,1,Ks
55829.029510,14.0150,0.0138,,,,,,,,,0.815,4.00,6482.92,0.0753,0.7700,0.4145,1,Ks
55830.008059,14.1027,0.0209,,,,,,,,,0.973,4.00,6001.10,0.1174,0.7400,0.1069,1,Ks
55830.008483,14.0901,0.0183,,,,,,,,,1.047,4.00,6001.10,0.1060,0.7200,0.2692,1,Ks
55987.349161,14.3483,0.0180,,,,,,,,,0.584,4.00,5501.35,0.0970,1.0600,0.5729,1,Ks
55987.349538,14.3090,0.0169,,,,,,,,,0.617,4.00,5487.42,0.0775,1.1700,0.2057,1,Ks
56010.272018,14.0324,0.0167,,,,,,,,,0.700,4.00,6160.35,0.0730,0.9600,0.4777,1,Ks
56010.272427,14.0205,0.0186,,,,,,,,,0.753,4.00,6124.31,0.0857,0.9100,0.5081,1,Ks
