mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55273.343524,,,,,,,,,14.8260,0.0155,0.648,4.00,2961.10,0.0837,1.0600,0.7253,1,H
55273.343839,,,,,,,,,14.8172,0.0140,0.656,4.00,2978.99,0.0962,1.0500,0.3008,1,H
55273.345738,14.6432,0.0261,,,,,,,,,0.595,4.00,4821.64,0.0999,1.3500,1.5283,1,Ks
55273.346074,14.5980,0.0303,,,,,,,,,0.596,4.00,4825.30,0.0802,1.8200,0.5197,1,Ks
55273.348954,,,,,,,15.2017,0.0085,,,0.666,6.00,1026.39,0.1442,0.7500,0.5491,1,J
55273.349492,,,,,,,15.2056,0.0075,,,0.672,6.00,1014.47,0.1419,0.6800,0.4344,1,J
55451.109874,,,,,15.6182,0.0128,,,,,0.980,10.00,559.70,0.0788,0.5100,0.1640,1,Y
55451.110541,,,,,15.6110,0.0138,,,,,0.965,10.00,564.12,0.0868,0.5300,0.8427,1,Y
55451.115178,,,,,15.5842,0.0127,,,,,0.913,10.00,554.02,0.0898,0.7600,0.9043,1,Y
55451.115778,,,,,15.5797,0.0136,,,,,0.909,10.00,561.76,0.0944,0.6200,0.3988,1,Y
55451.119897,,,15.9989,0.0113,,,,,,,0.901,10.00,208.49,0.0626,0.5600,0.1053,1,Z
55451.120510,,,16.0046,0.0128,,,,,,,0.910,10.00,212.51,0.0739,0.5700,0.5613,1,Z
55468.070788,14.5653,0.0274,,,,,,,,,0.847,4.00,4123.64,0.0866,1.0300,0.3622,1,Ks
55468.071263,14.5823,0.0298,,,,,,,,,0.844,4.00,4161.77,0.0634,1.0300,0.4393,1,Ks
55808.090883,14.6009,0.0256,,,,,,,,,0.830,4.00,4959.93,0.1998,1.0100,0.4122,1,Ks
55808.091347,14.6601,0.0247,,,,,,,,,0.778,4.00,4970.98,0.2046,1.1400,0.6917,1,Ks
55820.079453,14.6432,0.0327,,,,,,,,,0.594,4.00,6182.22,0.1076,1.3700,2.5107,1,Ks
55820.079866,14.6181,0.0280,,,,,,,,,0.677,4.00,6189.71,0.1050,1.2800,0.1368,1,Ks
55834.996253,14.6601,0.0271,,,,,,,,,0.859,4.00,5451.65,0.1377,1.5500,0.3758,1,Ks
55834.996657,14.6562,0.0305,,,,,,,,,0.776,4.00,5458.71,0.1393,1.4000,0.2100,1,Ks
55839.055561,14.5612,0.0281,,,,,,,,,0.692,4.00,5283.10,0.1280,1.4700,0.9676,1,Ks
55839.056007,14.5993,0.0239,,,,,,,,,0.655,4.00,5301.31,0.0965,1.0700,0.3320,1,Ks
55980.385507,14.7547,0.0343,,,,,,,,,0.959,4.00,5600.33,0.0845,0.9800,0.7620,1,Ks
55980.385884,14.7265,0.0338,,,,,,,,,0.966,4.00,5600.43,0.0836,0.9300,0.1784,1,Ks
55985.372821,14.6305,0.0349,,,,,,,,,0.540,4.00,6280.30,0.1058,1.6600,1.9384,1,Ks
55985.373203,14.6050,0.0352,,,,,,,,,0.529,4.00,6284.77,0.0882,1.7200,1.5465,1,Ks
55990.373929,14.7508,0.0314,,,,,,,,,0.788,4.00,5862.01,0.0740,1.2600,0.4335,1,Ks
55990.374324,14.6630,0.0266,,,,,,,,,0.799,4.00,5854.66,0.0708,1.1400,1.3635,1,Ks
55991.393479,14.7402,0.0287,,,,,,,,,0.898,4.00,4888.95,0.0741,1.0000,0.0906,1,Ks
55991.393860,14.7343,0.0429,,,,,,,,,1.049,4.00,4914.02,0.0985,0.7000,0.8499,1,Ks
55996.391677,14.6585,0.0378,,,,,,,,,0.609,4.00,6096.46,0.1393,1.6900,0.4056,1,Ks
55996.392077,14.6199,0.0311,,,,,,,,,0.643,4.00,6114.44,0.1784,1.4700,1.4609,1,Ks
55997.375814,14.5721,0.0201,,,,,,,,,0.610,4.00,6129.69,0.1392,1.0400,2.6144,1,Ks
55997.376189,14.6253,0.0332,,,,,,,,,0.629,4.00,6146.92,0.1402,1.4200,1.5951,1,Ks
56004.331027,14.7051,0.0343,,,,,,,,,0.552,4.00,6501.58,0.0989,1.5200,0.7533,1,Ks
56004.331411,14.7573,0.0372,,,,,,,,,0.564,4.00,6512.65,0.0771,1.8800,0.2115,1,Ks
56008.309666,14.6042,0.0390,,,,,,,,,0.625,4.00,6045.63,0.0869,2.0100,1.1245,1,Ks
56008.310079,14.5905,0.0253,,,,,,,,,0.635,4.00,6021.17,0.0937,1.3200,0.5982,1,Ks
56009.308982,14.6448,0.0290,,,,,,,,,0.812,4.00,6196.54,0.1113,1.1700,0.3380,1,Ks
56009.309396,14.7269,0.0410,,,,,,,,,0.927,4.00,6225.92,0.3291,1.1700,0.1256,1,Ks
56009.316891,14.6412,0.0734,,,,,,,,,1.198,4.00,5904.55,0.4226,1.2200,0.7490,1,Ks
56009.317406,15.0621,0.1528,,,,,,,,,1.181,4.00,5876.77,0.1902,1.2300,5.7339,1,Ks
56014.297421,14.6644,0.0365,,,,,,,,,1.106,4.00,4719.27,0.0911,0.9600,1.6130,1,Ks
56014.297866,14.6684,0.0280,,,,,,,,,0.940,4.00,4718.60,0.0742,0.8500,0.8457,1,Ks
56015.298474,14.6323,0.0484,,,,,,,,,1.150,4.00,4948.60,0.1339,0.7000,0.1751,1,Ks
56015.298919,14.6227,0.0384,,,,,,,,,1.027,4.00,4971.24,0.1478,0.8200,1.4271,1,Ks
56015.352539,14.7486,0.0276,,,,,,,,,0.808,4.00,4562.90,0.1163,1.0600,0.4986,1,Ks
56015.353000,14.7958,0.0289,,,,,,,,,0.816,4.00,4546.17,0.1065,0.9700,0.3266,1,Ks
56016.271410,14.5877,0.0262,,,,,,,,,0.771,4.00,5778.56,0.0780,1.2400,1.1325,1,Ks
56016.271815,14.5608,0.0205,,,,,,,,,0.768,4.00,5768.57,0.0859,0.9400,1.2855,1,Ks
56020.309346,14.7111,0.0334,,,,,,,,,0.536,4.00,5331.18,0.1020,2.1500,2.7272,1,Ks
56020.309790,14.6994,0.0230,,,,,,,,,0.506,4.00,5341.20,0.1026,1.4300,0.2798,1,Ks
56054.364206,14.7679,0.0325,,,,,,,,,0.512,4.00,5959.83,0.1172,1.7200,1.1713,1,Ks
56054.364623,14.7813,0.0348,,,,,,,,,0.504,4.00,5952.27,0.1028,1.6800,0.6051,1,Ks
56063.394974,14.6966,0.0494,,,,,,,,,1.133,4.00,4669.10,0.1140,0.7400,0.6287,1,Ks
56063.395429,14.5906,0.0425,,,,,,,,,0.962,4.00,4667.81,0.0733,0.7400,0.2294,1,Ks
56064.410935,14.6398,0.0235,,,,,,,,,0.643,4.00,6106.44,0.0784,1.5100,0.4492,1,Ks
56064.411368,14.6161,0.0297,,,,,,,,,0.611,4.00,6066.21,0.0769,1.5800,0.1960,1,Ks
56067.405016,14.9270,0.0308,,,,,,,,,0.631,4.00,5492.34,0.1024,1.4000,0.0199,1,Ks
56067.405435,14.8314,0.0228,,,,,,,,,0.640,4.00,5486.62,0.1167,1.0700,0.7593,1,Ks
56075.419706,14.6055,0.0442,,,,,,,,,1.010,4.00,6315.44,0.1572,0.9900,0.0672,1,Ks
56075.420122,14.5376,0.0436,,,,,,,,,0.979,4.00,6283.35,0.1729,0.9700,0.3214,1,Ks
56078.317178,14.7402,0.0325,,,,,,,,,0.756,4.00,6035.52,0.1096,1.2900,0.2076,1,Ks
56078.317670,14.6959,0.0416,,,,,,,,,0.768,4.00,6044.10,0.1139,1.6900,0.1383,1,Ks
56079.153231,14.7208,0.0419,,,,,,,,,0.838,4.00,4960.10,0.2304,1.0000,0.3258,1,Ks
56079.153683,14.7274,0.0393,,,,,,,,,0.902,4.00,4985.40,0.2343,1.1100,0.2633,1,Ks
56080.280047,14.6294,0.0246,,,,,,,,,0.862,4.00,5246.31,0.0666,0.9900,0.1684,1,Ks
56080.280575,14.6451,0.0411,,,,,,,,,0.985,4.00,5269.62,0.0792,0.9100,0.7790,1,Ks
56143.223728,14.6203,0.0348,,,,,,,,,0.909,4.00,3741.67,0.0721,0.7500,0.0863,1,Ks
56143.224104,14.5881,0.0365,,,,,,,,,0.944,4.00,3702.90,0.0727,0.7200,0.6716,1,Ks
56156.091491,14.7240,0.0501,,,,,,,,,1.211,4.00,3321.57,0.0675,0.6300,0.5375,1,Ks
56156.091892,14.7152,0.0721,,,,,,,,,1.176,4.00,3330.50,0.0702,0.8600,1.8208,1,Ks
56168.073873,14.6493,0.0334,,,,,,,,,0.854,4.00,5361.50,0.0852,0.9200,1.3922,1,Ks
56168.074253,14.6430,0.0281,,,,,,,,,0.827,4.00,5356.37,0.0672,1.0600,0.5833,1,Ks
56169.099307,14.5899,0.0190,,,,,,,,,0.677,4.00,5482.67,0.1070,1.1700,0.3956,1,Ks
56169.099753,14.5911,0.0230,,,,,,,,,0.633,4.00,5476.35,0.0712,1.1500,0.3774,1,Ks
56182.029026,14.8088,0.0271,,,,,,,,,0.586,4.00,5449.52,0.0743,1.2600,0.1814,1,Ks
56182.029472,14.8251,0.0268,,,,,,,,,0.550,4.00,5454.86,0.0892,1.1600,0.3592,1,Ks
56183.085489,14.7327,0.0232,,,,,,,,,0.664,4.00,5776.13,0.0939,1.2400,2.9100,1,Ks
56183.085890,14.7527,0.0418,,,,,,,,,0.785,4.00,5788.83,0.1114,1.3300,1.4992,1,Ks
56186.002516,14.6241,0.0229,,,,,,,,,0.560,4.00,5657.77,0.0867,1.1000,5.0063,1,Ks
56186.002912,14.6363,0.0296,,,,,,,,,0.624,4.00,5659.10,0.0955,1.5100,1.8386,1,Ks
56195.071457,14.8548,0.0307,,,,,,,,,0.755,4.00,5365.52,0.1200,1.2600,0.0883,1,Ks
56195.071847,14.8767,0.0331,,,,,,,,,0.717,4.00,5373.26,0.1193,1.4800,0.2652,1,Ks
56207.042456,14.7197,0.0319,,,,,,,,,0.651,4.00,4694.75,0.1081,1.2700,3.5421,1,Ks
56207.042832,14.7861,0.0300,,,,,,,,,0.678,4.00,4696.12,0.0865,1.0100,1.3687,1,Ks
56216.014071,14.8316,0.0255,,,,,,,,,0.681,4.00,5512.56,0.0690,1.2000,1.3182,1,Ks
56216.014474,14.8336,0.0313,,,,,,,,,0.677,4.00,5515.54,0.0917,1.2800,2.4585,1,Ks
56364.374340,14.8769,0.0278,,,,,,,,,0.881,4.00,4750.32,0.1136,0.9800,0.7373,1,Ks
56364.375490,14.8937,0.0301,,,,,,,,,0.832,4.00,4726.34,0.3317,1.0300,0.0390,1,Ks
56369.389497,14.5355,0.0303,,,,,,,,,0.510,4.00,4683.43,0.1016,1.5500,0.3955,1,Ks
56369.389921,14.5617,0.0285,,,,,,,,,0.511,4.00,4711.33,0.1053,1.2800,1.0804,1,Ks
56379.362087,14.5472,0.0275,,,,,,,,,0.526,4.00,5313.23,0.1201,1.3500,1.1084,1,Ks
56379.362880,14.5234,0.0205,,,,,,,,,0.526,4.00,5296.98,0.0912,1.1600,3.0918,1,Ks
56405.392139,14.7927,0.0312,,,,,,,,,0.652,4.00,5960.91,0.0928,1.4300,0.5650,1,Ks
56405.392596,14.7917,0.0282,,,,,,,,,0.662,4.00,5963.21,0.0875,1.2400,0.0493,1,Ks
56461.113307,14.8380,0.0230,,,,,,,,,0.596,4.00,4062.62,0.0866,1.0800,0.2200,1,Ks
56461.113697,14.8631,0.0268,,,,,,,,,0.611,4.00,4095.26,0.1161,1.3000,0.0572,1,Ks
56469.247310,14.6694,0.0499,,,,,,,,,1.297,4.00,3512.97,0.0770,0.6400,0.9368,1,Ks
56469.247725,14.6951,0.0903,,,,,,,,,1.420,4.00,3531.84,0.0670,0.7600,1.5762,1,Ks
56480.069220,14.7675,0.0263,,,,,,,,,0.699,4.00,5279.81,0.0717,1.3300,0.4451,1,Ks
56480.069659,14.7562,0.0240,,,,,,,,,0.749,4.00,5239.50,0.0722,1.2300,0.5362,1,Ks
56498.042349,14.6010,0.0239,,,,,,,,,0.779,4.00,4645.08,0.1010,1.0300,0.4981,1,Ks
56498.042757,14.6019,0.0197,,,,,,,,,0.768,4.00,4635.25,0.0650,1.0200,0.3087,1,Ks
56502.180386,14.6100,0.0261,,,,,,,,,0.608,4.00,4903.71,0.0929,1.2600,0.3355,1,Ks
56502.180793,14.5782,0.0281,,,,,,,,,0.587,4.00,4903.73,0.0998,1.2700,1.6520,1,Ks
56508.116655,14.6438,0.0271,,,,,,,,,0.793,4.00,4713.30,0.0874,1.1400,0.6113,1,Ks
56508.117054,14.6412,0.0242,,,,,,,,,0.787,4.00,4677.79,0.0787,1.0600,0.2006,1,Ks
56509.150910,14.6450,0.0241,,,,,,,,,0.740,4.00,4843.77,0.1064,1.1200,0.5481,1,Ks
56509.151301,14.6548,0.0271,,,,,,,,,0.795,4.00,4852.61,0.1511,1.1400,3.4383,1,Ks
56523.125847,14.6288,0.0261,,,,,,,,,0.660,4.00,4713.27,0.0962,1.1700,0.2256,1,Ks
56523.126278,14.6693,0.0244,,,,,,,,,0.615,4.00,4727.23,0.0986,1.2100,1.1667,1,Ks
56533.059048,14.8355,0.0364,,,,,,,,,0.699,4.00,5643.13,0.0882,1.2600,0.6591,1,Ks
56533.059444,14.8525,0.0271,,,,,,,,,0.694,4.00,5653.96,0.0669,1.1000,0.9012,1,Ks
56533.107281,14.6667,0.0234,,,,,,,,,0.668,4.00,6310.74,0.0682,1.1300,0.4399,1,Ks
56533.107695,14.7194,0.0322,,,,,,,,,0.683,4.00,6276.48,0.0993,1.3800,0.6239,1,Ks
56534.069990,14.7955,0.0386,,,,,,,,,0.631,4.00,5344.58,0.0787,1.5700,0.2536,1,Ks
56534.070399,14.8824,0.0304,,,,,,,,,0.642,4.00,5348.57,0.0686,1.3200,0.6043,1,Ks
56534.114189,14.7284,0.0312,,,,,,,,,0.648,4.00,5297.71,0.1024,1.3900,0.3242,1,Ks
56534.114593,14.7194,0.0273,,,,,,,,,0.645,4.00,5304.30,0.0784,1.2300,0.7734,1,Ks
56540.115519,14.5910,0.0639,,,,,,,,,1.336,4.00,5469.93,0.0626,0.9700,0.2514,1,Ks
56540.115925,14.5768,0.0448,,,,,,,,,1.297,4.00,5476.90,0.0660,0.8300,0.7931,1,Ks
56542.019401,14.7457,0.0406,,,,,,,,,0.956,4.00,6312.50,0.0572,1.0300,0.7977,1,Ks
56542.019801,14.8151,0.0368,,,,,,,,,0.854,4.00,6318.44,0.0601,1.0400,0.1771,1,Ks
56557.997949,14.6078,0.0278,,,,,,,,,0.847,4.00,4716.33,0.0677,1.0000,0.3052,1,Ks
56557.999879,14.6045,0.0289,,,,,,,,,0.819,4.00,4742.11,0.0898,1.0400,1.4268,1,Ks
56570.003227,14.5714,0.0308,,,,,,,,,0.709,4.00,5534.04,0.1072,1.2600,3.6361,1,Ks
56570.003603,14.6112,0.0258,,,,,,,,,0.710,4.00,5530.98,0.0967,1.1500,0.8512,1,Ks
56581.008842,14.5975,0.0281,,,,,,,,,0.647,4.00,6050.20,0.0945,1.2000,1.2007,1,Ks
56581.009238,14.6175,0.0268,,,,,,,,,0.659,4.00,6047.02,0.0934,1.2100,0.6215,1,Ks
56582.023047,14.5836,0.0292,,,,,,,,,0.912,4.00,5733.74,0.0736,0.9600,0.1104,1,Ks
56582.023469,14.5797,0.0276,,,,,,,,,0.720,4.00,5720.58,0.0838,1.2400,0.0926,1,Ks
56587.020878,14.8505,0.0333,,,,,,,,,0.854,4.00,6619.42,0.1005,1.3700,0.1891,1,Ks
