mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55295.298442,,,,,,,,,14.1957,0.0154,0.688,4.00,2400.25,0.0947,1.8100,2.4067,1,H
55295.298800,,,,,,,,,14.1745,0.0103,0.666,4.00,2401.48,0.0822,1.0500,2.0736,1,H
55295.300734,14.0682,0.0139,,,,,,,,,0.702,4.00,4821.38,0.0783,0.8800,0.8320,1,Ks
55295.301040,14.0862,0.0168,,,,,,,,,0.642,4.00,4824.69,0.0850,1.0900,1.0672,1,Ks
55295.302977,,,,,,,14.4713,0.0088,,,0.771,6.00,694.07,0.1096,0.9000,4.5326,1,J
55295.303506,,,,,,,14.4700,0.0082,,,0.798,6.00,698.59,0.1233,0.7700,0.8911,1,J
55775.208921,14.0108,0.0211,,,,,,,,,0.756,4.00,3563.22,0.0716,1.2300,0.7183,1,Ks
55775.209911,14.0492,0.0171,,,,,,,,,0.713,4.00,3570.33,0.0677,1.0300,0.5876,1,Ks
55778.187937,14.0975,0.0142,,,,,,,,,0.739,4.00,5193.29,0.1136,0.8400,2.7206,1,Ks
55778.188350,14.1215,0.0168,,,,,,,,,0.774,4.00,5206.75,0.0660,1.0800,1.3564,1,Ks
55779.199216,13.9695,0.0252,,,,,,,,,0.826,4.00,5133.26,0.0802,1.1500,1.8339,1,Ks
55779.199613,13.9812,0.0190,,,,,,,,,0.765,4.00,5160.77,0.0955,1.0400,0.3611,1,Ks
55794.117752,14.1606,0.0216,,,,,,,,,0.671,4.00,3645.06,0.1003,1.4500,0.6474,1,Ks
55794.118221,14.1685,0.0201,,,,,,,,,0.658,4.00,3646.14,0.0797,1.2600,1.7599,1,Ks
55804.142515,,,,,14.7458,0.0112,,,,,0.633,10.00,460.50,0.0908,0.9600,3.1356,1,Y
55804.143101,,,,,14.7738,0.0130,,,,,0.642,10.00,461.55,0.1080,1.4700,0.3828,1,Y
55804.146040,,,14.9965,0.0130,,,,,,,0.710,10.00,202.23,0.0948,0.9300,0.4289,1,Z
55804.146635,,,14.9873,0.0133,,,,,,,0.783,10.00,205.76,0.1139,1.3500,2.0546,1,Z
55808.098698,14.1770,0.0350,,,,,,,,,0.841,4.00,4834.69,0.0905,0.9000,0.5850,1,Ks
55808.099243,14.2524,0.0218,,,,,,,,,0.748,4.00,4864.17,0.0732,1.1700,3.2555,1,Ks
55830.078671,13.9500,0.0346,,,,,,,,,1.109,4.00,6140.21,0.0648,0.8600,2.8271,1,Ks
55830.079076,13.9051,0.0363,,,,,,,,,1.175,4.00,6163.17,0.0809,0.8600,2.9914,1,Ks
55844.018864,14.0082,0.0185,,,,,,,,,0.693,4.00,4746.12,0.0716,1.2100,2.7284,1,Ks
55844.019284,14.0303,0.0229,,,,,,,,,0.626,4.00,4749.38,0.0736,1.4200,8.2834,1,Ks
55847.028542,13.9719,0.0355,,,,,,,,,0.973,4.00,4481.03,0.0661,1.0800,0.5112,1,Ks
55847.028936,13.9769,0.0262,,,,,,,,,0.886,4.00,4477.94,0.0906,1.0800,3.9942,1,Ks
55850.030521,13.8867,0.0696,,,,,,,,,1.569,4.00,4966.83,0.0830,1.0400,32.4170,1,Ks
55850.030943,13.8581,0.0918,,,,,,,,,1.728,4.00,4947.02,0.0496,1.1400,17.3839,1,Ks
55999.329932,14.0765,0.0206,,,,,,,,,0.701,4.00,5590.37,0.0671,1.3300,0.0051,1,Ks
55999.330308,14.0634,0.0180,,,,,,,,,0.668,4.00,5585.07,0.0804,1.0300,0.1581,1,Ks
56017.397955,14.0831,0.0232,,,,,,,,,0.605,4.00,5366.72,0.0689,1.6800,3.1002,1,Ks
56017.398432,14.0816,0.0246,,,,,,,,,0.639,4.00,5378.83,0.0657,1.6600,3.0744,1,Ks
56085.266566,14.1644,0.0178,,,,,,,,,0.839,4.00,4608.51,0.0533,0.9200,1.3180,1,Ks
56085.267099,14.1693,0.0338,,,,,,,,,0.941,4.00,4569.90,0.0555,1.1900,0.4267,1,Ks
56089.135826,14.2024,0.0166,,,,,,,,,0.641,4.00,4715.00,0.0656,1.1600,1.9658,1,Ks
56089.136235,14.1931,0.0230,,,,,,,,,0.649,4.00,4771.87,0.1204,1.3600,0.7043,1,Ks
56090.145231,14.1381,0.0276,,,,,,,,,0.614,4.00,4070.98,0.0737,1.9000,0.0339,1,Ks
56090.145654,14.0893,0.0185,,,,,,,,,0.635,4.00,4079.47,0.0738,1.2700,2.1109,1,Ks
56093.113417,14.2432,0.0224,,,,,,,,,0.679,4.00,4131.61,0.0736,1.2000,1.5540,1,Ks
56093.113826,14.2309,0.0308,,,,,,,,,0.665,4.00,4163.94,0.0746,1.7700,0.1805,1,Ks
56096.267216,14.1633,0.0184,,,,,,,,,0.623,4.00,3838.08,0.0814,1.1400,0.9628,1,Ks
56096.267668,14.1829,0.0212,,,,,,,,,0.606,4.00,3854.11,0.0721,1.6400,1.9090,1,Ks
56109.070068,14.1265,0.0201,,,,,,,,,0.723,4.00,5360.62,0.1607,1.8900,1.8236,1,Ks
56109.070488,14.0996,0.0190,,,,,,,,,0.699,4.00,5366.43,0.1575,2.0600,1.5868,1,Ks
56113.205830,14.1502,0.0122,,,,,,,,,0.798,4.00,3449.94,0.1340,0.7500,0.5917,1,Ks
56113.206352,14.1427,0.0167,,,,,,,,,0.723,4.00,3442.37,0.1034,1.0900,2.4142,1,Ks
56114.204788,13.9420,0.0216,,,,,,,,,0.872,4.00,3297.74,0.0786,1.2000,2.7016,1,Ks
56114.205222,13.9788,0.0153,,,,,,,,,0.720,4.00,3256.44,0.0945,1.1600,2.6305,1,Ks
56127.005234,14.2557,0.0247,,,,,,,,,0.586,4.00,7229.14,0.0805,1.7200,0.1082,1,Ks
56127.005618,14.2460,0.0277,,,,,,,,,0.641,4.00,7178.60,0.1146,1.9000,2.3280,1,Ks
56131.145756,13.9910,0.0171,,,,,,,,,0.612,4.00,4195.54,0.1594,1.3200,0.7947,1,Ks
56131.146153,13.9951,0.0247,,,,,,,,,0.563,4.00,4191.69,0.0841,2.1300,4.7971,1,Ks
56132.085671,14.0036,0.0131,,,,,,,,,0.735,4.00,3936.38,0.0649,0.8700,0.1963,1,Ks
56132.086073,14.0009,0.0205,,,,,,,,,0.843,4.00,3951.19,0.1075,1.1100,1.9650,1,Ks
