mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55328.404911,,,,,,,,,15.2221,0.0569,1.092,4.00,4069.14,0.0740,1.2200,1.1507,1,H
55328.406555,,,,,,,,,15.2769,0.0359,0.990,4.00,4164.61,0.1343,1.0800,0.7883,1,H
55328.408842,15.1540,0.0511,,,,,,,,,0.987,4.00,5048.58,0.1524,1.4300,6.2901,1,Ks
55328.412268,,,,,,,15.6225,0.0277,,,1.131,6.00,1142.10,0.0905,0.6300,2.1193,1,J
55328.413993,,,,,,,,,15.2770,0.0560,1.407,4.00,4323.78,0.1852,1.1100,1.7747,1,H
55328.416301,15.3174,0.1421,,,,,,,,,1.525,4.00,5094.42,0.1217,1.2200,10.3760,1,Ks
55337.332121,,,,,,,,,15.2649,0.0315,0.914,4.00,2890.54,0.2396,1.0500,0.9456,1,H
55337.333768,,,,,,,,,15.2926,0.0274,0.806,4.00,2990.15,0.2302,1.1100,5.1269,1,H
55337.334413,15.2163,0.0560,,,,,,,,,0.858,4.00,3934.54,0.2056,1.5000,8.4872,1,Ks
55337.336013,15.2480,0.0581,,,,,,,,,0.845,4.00,3864.97,0.1802,1.5600,0.1513,1,Ks
55337.341033,,,,,,,,,15.2837,0.0197,0.877,4.00,2811.33,0.1380,0.7000,0.2692,1,H
55337.343274,15.1657,0.0476,,,,,,,,,0.883,4.00,3867.18,0.1916,1.1800,1.4251,1,Ks
55417.213038,,,,,,,,,15.3394,0.0268,0.693,4.00,2014.83,0.1224,1.6000,4.1593,1,H
55417.215292,,,,,,,,,15.2530,0.0251,0.706,4.00,2116.08,0.0980,1.5200,1.2647,1,H
55417.216067,15.0909,0.0302,,,,,,,,,0.733,4.00,4105.02,0.1286,1.5900,2.3098,1,Ks
55417.218340,15.1662,0.0354,,,,,,,,,0.724,4.00,4157.33,0.1020,2.1000,0.1889,1,Ks
55417.219127,,,,,,,15.5860,0.0219,,,0.802,6.00,593.46,0.1178,0.9600,0.3457,1,J
55417.227107,,,,,,,15.5933,0.0209,,,0.871,6.00,573.76,0.0770,0.7000,0.1717,1,J
55417.229144,,,,,,,,,15.2535,0.0180,0.782,4.00,2285.43,0.1216,0.8300,1.1279,1,H
55417.232185,15.1108,0.0331,,,,,,,,,0.843,4.00,4184.07,0.0528,0.9900,0.0731,1,Ks
55417.235625,,,,,,,15.6191,0.0131,,,0.827,6.00,675.54,0.0791,0.5500,2.2078,1,J
55426.201762,15.1585,0.0405,,,,,,,,,0.756,4.00,4262.90,0.0764,1.5000,0.3543,1,Ks
55426.203858,15.2000,0.0470,,,,,,,,,0.756,4.00,4253.50,0.0710,2.1300,0.3932,1,Ks
55426.205576,15.1934,0.0386,,,,,,,,,0.762,4.00,4236.15,0.0706,1.0600,0.5246,1,Ks
55498.002607,15.4133,0.0716,,,,,,,,,0.808,4.00,6144.12,0.0658,1.5500,1.0856,1,Ks
55498.004967,15.3674,0.0644,,,,,,,,,0.799,4.00,6336.59,0.0682,1.7100,1.3550,1,Ks
