mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55423.164704,,,,,,,,,12.6414,0.0153,0.649,4.00,3422.48,0.0763,2.8200,0.1963,1,H
55423.165596,,,,,,,,,12.6928,0.0206,0.688,4.00,3542.75,0.0679,4.0300,5.3806,1,H
55423.167701,12.5560,0.0208,,,,,,,,,0.609,4.00,4708.53,0.0705,3.6900,0.3579,1,Ks
55423.168592,12.5988,0.0211,,,,,,,,,0.632,4.00,4689.73,0.0719,3.7300,0.8870,1,Ks
55423.170658,,,,,,,12.8993,0.0088,,,0.795,6.00,933.04,0.0753,1.5000,1.2125,1,J
55423.171999,,,,,,,12.9337,0.0241,,,0.785,6.00,952.31,0.0757,2.9900,33.0244,1,J
55777.140258,12.3899,0.0173,,,,,,,,,0.596,4.00,4272.30,0.0708,2.8600,4.3491,1,Ks
55777.141177,12.4036,0.0132,,,,,,,,,0.646,4.00,4302.38,0.1147,2.5000,0.1148,1,Ks
55778.201406,12.3767,0.0124,,,,,,,,,0.639,4.00,5410.62,0.0710,1.8200,2.4987,1,Ks
55778.202220,12.3710,0.0168,,,,,,,,,0.660,4.00,5470.30,0.0843,2.8800,0.4170,1,Ks
55794.130909,12.5345,0.0151,,,,,,,,,0.747,4.00,3747.50,0.0648,1.5700,2.0074,1,Ks
55794.131809,12.5106,0.0108,,,,,,,,,0.717,4.00,3743.31,0.0575,1.6400,2.6198,1,Ks
55803.140237,,,,,13.1650,0.0101,,,,,0.828,10.00,551.61,0.0682,1.3000,2.7723,1,Y
55803.141303,,,,,13.1076,0.0204,,,,,0.795,10.00,560.13,0.0599,1.5900,8.8875,1,Y
55803.143619,,,13.4387,0.0129,,,,,,,0.834,10.00,225.15,0.0745,1.7200,6.3254,1,Z
55803.144721,,,13.3550,0.0308,,,,,,,0.849,10.00,227.57,0.0761,2.1700,22.1988,1,Z
55806.151590,12.3909,0.0217,,,,,,,,,0.590,4.00,6077.24,0.1112,4.0400,0.1101,1,Ks
55806.152402,12.4359,0.0184,,,,,,,,,0.655,4.00,6097.63,0.1310,2.5600,1.1684,1,Ks
55820.114238,12.4671,0.0129,,,,,,,,,0.631,4.00,5522.15,0.1102,1.7600,0.6465,1,Ks
55820.115188,12.4437,0.0187,,,,,,,,,0.692,4.00,5609.22,0.1442,3.1800,0.9215,1,Ks
55830.025400,12.4615,0.0167,,,,,,,,,0.909,4.00,5934.85,0.0666,0.8300,0.2275,1,Ks
55830.026234,12.4655,0.0207,,,,,,,,,0.949,4.00,5979.73,0.0693,1.4100,3.0733,1,Ks
55844.030836,12.4276,0.0170,,,,,,,,,0.816,4.00,4897.89,0.0632,1.2200,1.3957,1,Ks
55844.031625,12.4331,0.0177,,,,,,,,,0.810,4.00,4897.86,0.0685,1.0000,4.8383,1,Ks
55849.026738,12.4316,0.0368,,,,,,,,,1.424,4.00,4053.10,0.1371,0.4200,0.2461,1,Ks
55849.027637,12.4131,0.0403,,,,,,,,,1.597,4.00,4028.12,0.0586,0.3500,0.5505,1,Ks
55987.383022,12.4457,0.0132,,,,,,,,,0.632,4.00,5323.69,0.0904,1.9400,0.5440,1,Ks
55987.383762,12.4612,0.0166,,,,,,,,,0.619,4.00,5313.21,0.0858,2.2000,0.2571,1,Ks
55999.381652,12.3774,0.0139,,,,,,,,,0.630,4.00,5266.19,0.1073,1.8300,0.9083,1,Ks
55999.382424,12.4027,0.0146,,,,,,,,,0.612,4.00,5249.37,0.0785,2.4100,1.6627,1,Ks
56016.388259,12.5114,0.0139,,,,,,,,,0.762,4.00,5445.54,0.0678,1.4400,1.0215,1,Ks
56016.389178,12.4946,0.0142,,,,,,,,,0.780,4.00,5468.54,0.0798,1.2200,1.4480,1,Ks
56024.263886,12.5532,0.0191,,,,,,,,,0.601,4.00,5624.71,0.0774,2.2600,1.5362,1,Ks
56024.264675,12.5660,0.0189,,,,,,,,,0.555,4.00,5555.58,0.0817,2.7100,1.0654,1,Ks
56035.259648,12.3639,0.0211,,,,,,,,,0.471,4.00,5301.59,0.1200,3.1700,0.0457,1,Ks
56035.260448,12.3878,0.0158,,,,,,,,,0.516,4.00,5303.42,0.1043,2.7200,0.3123,1,Ks
56035.271281,12.3579,0.0183,,,,,,,,,0.486,4.00,5262.09,0.0827,2.5200,1.4863,1,Ks
56035.272091,12.3788,0.0353,,,,,,,,,0.468,4.00,5275.81,0.0943,6.5000,0.7079,1,Ks
56035.299948,12.3635,0.0218,,,,,,,,,0.479,4.00,5155.58,0.1026,2.8800,1.1902,1,Ks
56035.300824,12.3641,0.0280,,,,,,,,,0.513,4.00,5168.02,0.1016,4.5200,0.3157,1,Ks
56036.305730,12.4005,0.0177,,,,,,,,,0.571,4.00,5502.85,0.1083,2.4800,1.7813,1,Ks
56036.306601,12.3785,0.0135,,,,,,,,,0.603,4.00,5509.45,0.1255,2.2200,3.2698,1,Ks
56036.319566,12.3641,0.0142,,,,,,,,,0.545,4.00,5343.63,0.1207,1.6400,0.0121,1,Ks
56036.320424,12.3798,0.0175,,,,,,,,,0.559,4.00,5354.21,0.0789,3.2100,2.6097,1,Ks
56036.389313,12.3818,0.0082,,,,,,,,,0.735,4.00,5192.40,0.0629,0.8300,0.0664,1,Ks
56036.390377,12.3648,0.0146,,,,,,,,,0.740,4.00,5193.50,0.0667,1.4800,1.0396,1,Ks
56036.401152,12.3749,0.0153,,,,,,,,,0.740,4.00,5212.77,0.0863,1.6800,1.5218,1,Ks
56036.402192,12.3713,0.0204,,,,,,,,,0.667,4.00,5174.58,0.0772,3.2100,0.3258,1,Ks
56039.261679,12.3893,0.0187,,,,,,,,,0.546,4.00,5636.35,0.0923,2.5600,1.3697,1,Ks
56039.262468,12.3955,0.0203,,,,,,,,,0.538,4.00,5626.56,0.0890,3.7300,0.1118,1,Ks
56046.282029,12.4768,0.0101,,,,,,,,,0.729,4.00,3587.49,0.1330,1.2000,1.3633,1,Ks
56046.282873,12.4734,0.0164,,,,,,,,,0.697,4.00,3570.49,0.1265,2.1000,5.2675,1,Ks
56047.234585,12.4496,0.0168,,,,,,,,,0.692,4.00,4772.17,0.0679,2.1800,0.6502,1,Ks
56047.235349,12.4481,0.0165,,,,,,,,,0.617,4.00,4773.02,0.0834,2.1200,1.2190,1,Ks
56086.155477,12.4623,0.0092,,,,,,,,,0.719,4.00,4133.56,0.0596,1.1400,0.3574,1,Ks
56086.156313,12.4504,0.0143,,,,,,,,,0.690,4.00,4127.77,0.0646,1.9100,0.8216,1,Ks
