mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55274.382352,,,,,,,15.6245,0.0132,,,0.708,6.00,865.72,0.0891,0.9000,0.3800,1,J
55274.382893,,,,,,,15.6282,0.0118,,,0.721,6.00,879.74,0.0940,1.0600,0.5341,1,J
55280.346580,,,,,,,,,15.1031,0.0184,0.596,4.00,2954.68,0.0983,1.4300,0.2018,1,H
55280.346887,,,,,,,,,15.0933,0.0218,0.634,4.00,2932.22,0.1054,1.7500,0.2114,1,H
55280.348770,14.7977,0.0215,,,,,,,,,0.616,4.00,4616.48,0.0984,1.1000,0.0651,1,Ks
55280.349077,14.8003,0.0242,,,,,,,,,0.707,4.00,4624.25,0.1270,1.1600,0.2369,1,Ks
55280.350946,,,,,,,15.6208,0.0146,,,0.709,6.00,1012.95,0.0805,1.0400,1.9053,1,J
55280.351481,,,,,,,15.6276,0.0112,,,0.707,6.00,1019.02,0.0761,0.8500,0.1277,1,J
55468.075292,14.8131,0.0229,,,,,,,,,0.875,4.00,4089.09,0.0547,0.8200,0.2400,1,Ks
55468.075744,14.8478,0.0293,,,,,,,,,0.862,4.00,4097.79,0.0739,1.1100,0.1226,1,Ks
55724.310645,,,,,16.2046,0.0117,,,,,0.585,10.00,433.08,0.1025,0.6300,0.4503,1,Y
55724.311244,,,,,16.2283,0.0134,,,,,0.580,10.00,431.65,0.1062,0.7900,1.9043,1,Y
55724.314220,,,16.7385,0.0178,,,,,,,0.647,10.00,206.87,0.0964,0.7500,0.3804,1,Z
55724.314772,,,16.7482,0.0125,,,,,,,0.651,10.00,212.88,0.0942,0.6500,0.3721,1,Z
55802.115538,,,,,16.3180,0.0218,,,,,0.689,10.00,488.65,0.0765,0.8400,1.3047,1,Y
55802.116080,,,,,16.3357,0.0167,,,,,0.705,10.00,490.05,0.0969,0.8100,0.3425,1,Y
55802.118984,,,16.8705,0.0170,,,,,,,0.750,10.00,176.77,0.1131,0.4900,0.2860,1,Z
55802.119506,,,16.8356,0.0172,,,,,,,0.750,10.00,179.51,0.0948,0.8000,0.1736,1,Z
55808.085539,14.8161,0.0290,,,,,,,,,0.709,4.00,4899.95,0.1019,1.1800,0.1626,1,Ks
55808.086069,14.8170,0.0229,,,,,,,,,0.675,4.00,4903.96,0.0865,1.1000,0.5210,1,Ks
55820.084499,14.8557,0.0464,,,,,,,,,0.649,4.00,6137.40,0.1041,2.2800,1.2295,1,Ks
55820.084977,14.8525,0.0295,,,,,,,,,0.690,4.00,6126.18,0.0704,1.3200,0.0639,1,Ks
55834.991650,14.8347,0.0238,,,,,,,,,0.840,4.00,5373.60,0.0827,0.9800,0.5648,1,Ks
55834.992053,14.8448,0.0277,,,,,,,,,0.768,4.00,5359.73,0.1224,1.1300,0.8687,1,Ks
55839.059880,14.7896,0.0272,,,,,,,,,0.693,4.00,5330.81,0.1112,1.2800,0.2383,1,Ks
55839.060301,14.8344,0.0229,,,,,,,,,0.695,4.00,5322.91,0.0997,1.4000,0.1201,1,Ks
55980.381434,14.8465,0.0367,,,,,,,,,1.024,4.00,5621.60,0.1138,0.8400,0.2560,1,Ks
55980.381811,14.8818,0.0422,,,,,,,,,1.013,4.00,5620.65,0.1034,0.8700,0.2463,1,Ks
55985.376590,14.8708,0.0330,,,,,,,,,0.538,4.00,6192.12,0.0924,1.2400,0.8368,1,Ks
55985.376966,14.8886,0.0331,,,,,,,,,0.504,4.00,6177.16,0.0803,1.6700,1.5262,1,Ks
55990.369626,14.9679,0.0380,,,,,,,,,0.880,4.00,5779.11,0.0725,1.2600,0.4483,1,Ks
55990.370014,14.9883,0.0470,,,,,,,,,0.929,4.00,5782.59,0.0848,1.3200,0.6149,1,Ks
