mjd,ks_mag,ks_err,z_mag,z_err,y_mag,y_err,j_mag,j_err,h_mag,h_err,seeing,exptime,skylevel,ellipticity,chi,ast_res_chisq,detected,filter
55275.388620,,,,,,,,,14.7189,0.0164,0.629,4.00,2892.48,0.1149,1.4700,0.2861,1,H
55275.388928,,,,,,,,,14.7159,0.0136,0.601,4.00,2887.91,0.1042,1.1300,0.2272,1,H
55275.390932,14.3581,0.0260,,,,,,,,,0.619,4.00,4844.19,0.0826,1.9100,1.2151,1,Ks
55275.391245,14.3340,0.0219,,,,,,,,,0.685,4.00,4829.51,0.1024,1.1500,1.5230,1,Ks
55275.393404,,,,,,,15.3729,0.0198,,,0.637,6.00,775.24,0.1057,1.2100,0.9336,1,J
55275.393953,,,,,,,15.4018,0.0202,,,0.677,6.00,784.42,0.1123,1.0300,0.3164,1,J
55280.385278,,,,,,,,,14.5997,0.0132,0.659,4.00,3223.99,0.0714,0.9300,1.4360,1,H
55280.385585,,,,,,,,,14.5721,0.0178,0.678,4.00,3238.03,0.0841,0.7800,0.1175,1,H
55280.387460,14.1432,0.0207,,,,,,,,,0.615,4.00,4647.98,0.0737,1.5500,5.5010,1,Ks
55280.387755,14.1611,0.0256,,,,,,,,,0.683,4.00,4643.73,0.0760,1.3400,2.8070,1,Ks
55280.389963,,,,,,,15.2746,0.0157,,,0.723,6.00,1100.07,0.0735,0.7500,0.3290,1,J
55280.390499,,,,,,,15.2690,0.0158,,,0.785,6.00,1104.78,0.0639,0.6300,1.8031,1,J
55463.065510,14.3851,0.0253,,,,,,,,,0.856,4.00,4859.69,0.0520,1.2000,0.2282,1,Ks
55463.065969,14.3403,0.0220,,,,,,,,,0.905,4.00,4876.72,0.0628,0.8700,1.0713,1,Ks
55470.064142,,,,,15.8597,0.0294,,,,,0.844,10.00,623.93,0.0573,0.7900,0.2698,1,Y
55470.064711,,,,,16.0260,0.0283,,,,,0.981,10.00,629.29,0.0598,0.5900,0.1967,1,Y
55470.067996,,,16.7218,0.0495,,,,,,,1.215,10.00,211.12,0.0856,0.6600,0.1506,1,Z
